,IND1,IND3,IND7,IND8,IND9,IND10,IND11,IND12,IND14,IND15,IND17,IND18,IND19,IND21,IND22,IND23,IND24,IND25,IND26,IND27,IND28,IND29,IND31,IND32,IND33,IND34,IND36,IND37_IND57,IND38,IND41,IND42,IND44,IND48,IND49,IND50,IND52,IND53,IND60,IND61,IND62,IND63,IND66,IND67,IND68,IND69,IND70,IND71,IND72,IND73,IND74,IND75,IND76,IND77,IND79,IND80,IND81,IND82,IND84,IND85,IND87,IND88,IND89,IND92,IND93,IND94,IND95,IND96,IND97,IND98,IND99,IND101,IND102
JHI-Hv50k-2016-209663,AA,BB,AA,AA,BB,AA,AA,BB,BB,BB,AA,AA,BB,AA,BB,AA,BB,AA,BB,BB,AA,BB,BB,BB,AA,AA,BB,AA,AA,BB,BB,AA,AA,AA,BB,AA,AA,BB,AA,BB,AA,BB,AA,AA,AA,BB,BB,AA,BB,BB,BB,AA,BB,AA,BB,AA,AA,BB,AA,BB,BB,AA,AA,BB,BB,BB,BB,AA,BB,BB,BB,BB
JHI-Hv50k-2016-209275,AA,BB,-,-,BB,AA,-,BB,BB,BB,-,-,BB,AA,BB,AA,BB,AA,BB,BB,AA,BB,BB,BB,AA,AA,BB,-,-,BB,BB,AA,AA,-,BB,-,-,BB,AA,BB,AA,BB,AA,-,-,BB,BB,-,BB,BB,BB,AA,BB,-,BB,-,AA,BB,-,BB,BB,-,-,BB,BB,BB,BB,-,BB,BB,-,BB
JHI-Hv50k-2016-210086,AA,BB,AA,AA,BB,AA,AA,BB,BB,BB,AA,AA,BB,AA,BB,AA,BB,AA,BB,BB,AA,BB,BB,BB,AA,AA,BB,AA,AA,BB,BB,AA,AA,AA,BB,AA,AA,BB,AA,BB,AA,BB,AA,AA,AA,BB,BB,AA,BB,BB,BB,AA,BB,AA,BB,AA,AA,BB,AA,BB,BB,AA,AA,BB,BB,BB,BB,AA,BB,AA,BB,BB
JHI-Hv50k-2016-210042,AA,BB,AA,AA,BB,AA,AA,BB,BB,BB,AA,AA,BB,AA,BB,AA,BB,AA,BB,BB,AA,BB,BB,BB,AA,AA,BB,AA,AA,BB,BB,AA,AA,AA,BB,AA,AA,BB,AA,BB,AA,BB,AA,AA,AA,BB,BB,AA,BB,BB,BB,AA,BB,AA,BB,AA,AA,BB,AA,BB,BB,AA,AA,BB,BB,BB,BB,AA,BB,AA,BB,BB
JHI-Hv50k-2016-210038,AA,BB,AA,AA,BB,AA,AA,BB,BB,BB,AA,AA,BB,AA,BB,AA,BB,AA,BB,BB,AA,BB,BB,BB,AA,AA,BB,AA,AA,BB,BB,AA,AA,AA,BB,AA,AA,BB,AA,BB,AA,BB,AA,AA,AA,BB,BB,AA,BB,BB,BB,AA,BB,AA,BB,AA,AA,BB,AA,BB,BB,AA,AA,BB,BB,BB,BB,AA,BB,AA,BB,-
JHI-Hv50k-2016-209959,AA,BB,AA,AA,-,AA,AA,-,-,-,AA,AA,-,AA,BB,AA,-,AA,BB,-,AA,-,BB,BB,AA,AA,-,AA,AA,-,-,AA,AA,AA,BB,AA,AA,BB,AA,-,AA,BB,AA,AA,AA,BB,BB,AA,-,-,BB,AA,BB,AA,BB,AA,AA,BB,AA,-,BB,AA,AA,BB,BB,BB,BB,AA,BB,AA,-,-
JHI-Hv50k-2016-209957,AA,BB,AA,AA,BB,AA,AA,BB,BB,BB,AA,AA,BB,AA,BB,AA,BB,AA,BB,BB,AA,BB,BB,BB,AA,AA,BB,AA,AA,BB,BB,AA,AA,AA,BB,AA,AA,BB,AA,BB,AA,BB,AA,AA,AA,BB,BB,AA,BB,BB,BB,AA,BB,AA,BB,AA,AA,BB,AA,BB,BB,AA,AA,BB,BB,BB,BB,AA,BB,AA,BB,BB
JHI-Hv50k-2016-209868,AA,BB,AA,AA,BB,AA,AA,BB,BB,BB,AA,AA,BB,AA,BB,AA,BB,AA,BB,BB,AA,BB,BB,BB,AA,AA,BB,AA,AA,BB,BB,AA,AA,AA,BB,AA,AA,BB,AA,BB,AA,BB,AA,AA,AA,BB,BB,AA,-,BB,BB,AA,BB,AA,BB,AA,AA,BB,AA,BB,BB,AA,AA,BB,BB,BB,BB,AA,BB,AA,BB,-
JHI-Hv50k-2016-212081,AA,BB,AA,AA,BB,BB,AA,BB,BB,BB,AA,AA,BB,BB,BB,AA,BB,AA,BB,BB,AA,BB,BB,BB,AA,AA,BB,AA,AA,BB,BB,AA,AA,AA,BB,AA,AA,BB,AA,BB,AA,BB,AA,AA,AA,BB,BB,AA,BB,AA,BB,AA,BB,AA,BB,AA,AA,BB,AA,BB,BB,AA,AA,BB,BB,BB,BB,AA,BB,BB,BB,BB
JHI-Hv50k-2016-211904,AA,BB,AA,AA,BB,BB,AA,BB,BB,BB,AA,AA,BB,BB,BB,AA,BB,AA,BB,BB,AA,BB,BB,BB,AA,AA,BB,AA,AA,BB,BB,AA,AA,AA,BB,AA,AA,BB,AA,BB,AA,BB,AA,AA,AA,BB,BB,AA,BB,AA,BB,AA,BB,AA,BB,AA,AA,BB,AA,BB,BB,AA,AA,BB,BB,BB,BB,AA,BB,BB,BB,BB
JHI-Hv50k-2016-211296,-,BB,AA,AA,BB,BB,AA,BB,BB,BB,AA,AA,BB,AA,BB,AA,BB,AA,BB,BB,AA,BB,BB,BB,AA,AA,BB,AA,-,BB,BB,AA,AA,AA,BB,AA,AA,BB,AA,BB,AA,BB,AA,AA,AA,BB,BB,AA,BB,BB,BB,AA,BB,AA,BB,AA,AA,BB,AA,BB,BB,AA,AA,BB,BB,BB,BB,AA,BB,BB,BB,BB
JHI-Hv50k-2016-211251,AA,BB,AA,AA,BB,BB,AA,BB,BB,BB,AA,AA,BB,AA,BB,AA,BB,AA,BB,BB,AA,BB,BB,BB,AA,AA,BB,AA,AA,BB,BB,AA,AA,AA,BB,AA,AA,BB,AA,BB,AA,BB,AA,AA,AA,BB,BB,AA,BB,BB,BB,AA,BB,AA,BB,AA,AA,BB,AA,BB,BB,AA,AA,BB,BB,BB,BB,AA,BB,BB,BB,BB
JHI-Hv50k-2016-211204,AA,BB,AA,AA,BB,BB,AA,BB,BB,BB,AA,AA,BB,AA,BB,AA,BB,AA,BB,BB,AA,BB,BB,BB,AA,AA,BB,AA,AA,BB,BB,AA,AA,AA,BB,AA,AA,BB,AA,BB,AA,BB,AA,AA,AA,BB,BB,AA,BB,BB,BB,AA,BB,AA,BB,AA,AA,BB,AA,BB,BB,AA,AA,BB,BB,BB,BB,AA,BB,BB,BB,BB
JHI-Hv50k-2016-211108,AA,BB,AA,AA,BB,BB,AA,BB,BB,BB,AA,AA,BB,AA,BB,AA,BB,AA,BB,BB,AA,BB,BB,BB,AA,AA,BB,AA,AA,BB,BB,AA,AA,AA,BB,AA,AA,BB,AA,BB,AA,BB,AA,AA,AA,BB,BB,AA,BB,BB,BB,AA,BB,AA,BB,AA,AA,BB,AA,BB,BB,AA,AA,BB,BB,BB,BB,AA,BB,BB,BB,BB
JHI-Hv50k-2016-211061,AA,BB,AA,AA,BB,BB,AA,BB,BB,BB,AA,AA,BB,AA,BB,AA,BB,AA,BB,BB,AA,BB,BB,BB,AA,AA,BB,AA,AA,BB,BB,AA,AA,AA,BB,AA,AA,BB,AA,BB,AA,BB,AA,AA,AA,BB,BB,AA,BB,BB,BB,AA,BB,AA,BB,AA,AA,BB,AA,BB,BB,AA,AA,BB,BB,BB,BB,AA,BB,BB,BB,BB
JHI-Hv50k-2016-211019,AA,BB,AA,AA,BB,BB,AA,BB,BB,BB,AA,AA,BB,AA,BB,AA,BB,AA,BB,BB,AA,BB,BB,BB,AA,AA,BB,AA,AA,BB,BB,AA,AA,AA,BB,AA,AA,BB,AA,BB,AA,BB,AA,AA,AA,BB,BB,AA,BB,BB,BB,AA,BB,AA,BB,AA,AA,BB,AA,BB,BB,AA,AA,BB,BB,BB,BB,AA,BB,BB,BB,BB
JHI-Hv50k-2016-210967,AA,BB,AA,AA,BB,BB,AA,BB,BB,BB,AA,AA,BB,AA,BB,AA,BB,AA,BB,BB,AA,BB,BB,BB,AA,AA,BB,AA,AA,BB,BB,AA,AA,AA,BB,AA,AA,BB,AA,BB,AA,BB,AA,AA,AA,BB,BB,AA,BB,BB,BB,AA,BB,AA,BB,AA,AA,BB,AA,BB,BB,AA,AA,BB,BB,BB,BB,AA,BB,BB,BB,BB
JHI-Hv50k-2016-75490,AA,BB,AA,AA,BB,BB,AA,BB,BB,BB,AA,AA,BB,AA,BB,AA,BB,AA,BB,BB,AA,BB,BB,BB,AA,AA,BB,AA,AA,BB,BB,AA,AA,AA,BB,AA,AA,BB,AA,BB,AA,BB,AA,AA,AA,BB,BB,AA,BB,BB,BB,AA,AA,AA,BB,AA,AA,BB,AA,BB,BB,AA,AA,BB,BB,BB,BB,AA,BB,BB,BB,BB
JHI-Hv50k-2016-207495,AA,BB,BB,AA,BB,AA,AA,BB,BB,BB,AA,AA,BB,AA,BB,AA,BB,AA,BB,BB,AA,BB,BB,BB,AA,AA,BB,AA,AA,BB,AA,BB,AA,AA,BB,AA,AA,BB,AA,BB,AA,BB,BB,AA,AA,BB,AA,AA,BB,BB,BB,AA,AA,AA,BB,AA,AA,BB,AA,BB,BB,AA,AA,BB,BB,BB,BB,AA,BB,BB,BB,BB
JHI-Hv50k-2016-207481,AA,BB,BB,AA,BB,AA,AA,BB,BB,BB,AA,AA,BB,AA,BB,AA,BB,AA,BB,BB,AA,BB,BB,BB,AA,AA,BB,AA,AA,BB,AA,BB,AA,AA,BB,AA,AA,BB,AA,BB,AA,BB,BB,AA,AA,BB,AA,AA,BB,BB,BB,AA,AA,AA,BB,AA,AA,BB,AA,BB,BB,AA,AA,BB,BB,BB,BB,AA,BB,BB,BB,BB
M_E_138,AA,BB,BB,AA,BB,AA,AA,BB,BB,BB,AA,AA,BB,AA,BB,AA,BB,AA,BB,BB,AA,BB,BB,BB,AA,AA,BB,AA,AA,BB,BB,BB,AA,AA,BB,AA,AA,AA,AA,BB,BB,BB,BB,AA,BB,BB,AA,AA,BB,BB,BB,BB,AA,AA,BB,AA,AA,BB,AA,BB,BB,BB,AA,BB,BB,BB,AA,AA,BB,BB,BB,BB
M_E_52,AA,-,BB,AA,BB,AA,AA,AA,BB,BB,AA,AA,BB,AA,BB,AA,BB,AA,AA,BB,BB,BB,BB,BB,AA,BB,BB,-,AA,BB,AA,BB,-,AA,BB,BB,AA,BB,BB,BB,AA,BB,AA,AA,AA,BB,AA,AA,BB,AA,BB,BB,AA,AA,BB,BB,-,BB,-,AA,BB,BB,AA,-,BB,BB,-,AA,BB,BB,BB,AA
JHI-Hv50k-2016-205257,AA,BB,BB,AA,BB,AA,AA,AA,BB,BB,AA,AA,AA,AA,BB,AA,BB,AA,AA,BB,BB,BB,-,BB,AA,BB,BB,AA,AA,BB,-,BB,AA,AA,BB,AA,BB,BB,BB,BB,AA,BB,AA,AA,AA,BB,AA,AA,BB,AA,BB,AA,AA,AA,BB,BB,BB,BB,AA,BB,BB,BB,AA,BB,BB,BB,BB,AA,BB,AA,BB,-
JHI-Hv50k-2016-204534,AA,BB,BB,AA,BB,AA,AA,AA,BB,BB,AA,AA,AA,AA,BB,AA,BB,AA,AA,BB,BB,BB,-,BB,AA,BB,BB,AA,AA,BB,-,BB,AA,AA,BB,BB,BB,BB,BB,BB,AA,BB,AA,AA,AA,BB,AA,AA,BB,BB,BB,AA,AA,AA,BB,BB,BB,BB,AA,BB,BB,BB,AA,BB,BB,BB,BB,AA,BB,AA,BB,BB
JHI-Hv50k-2016-204532,AA,BB,BB,AA,BB,AA,AA,AA,BB,BB,AA,AA,AA,AA,BB,AA,BB,AA,AA,BB,BB,BB,AA,BB,AA,BB,BB,AA,AA,BB,AA,BB,AA,AA,BB,BB,BB,BB,BB,BB,AA,BB,AA,AA,AA,BB,AA,AA,BB,BB,BB,AA,AA,AA,BB,BB,BB,BB,AA,BB,BB,BB,AA,BB,BB,BB,BB,AA,BB,AA,BB,BB
JHI-Hv50k-2016-204423,AA,BB,BB,AA,BB,AA,AA,AA,BB,BB,AA,AA,AA,AA,BB,AA,BB,AA,AA,BB,BB,BB,-,BB,AA,BB,BB,AA,AA,BB,-,BB,AA,AA,BB,BB,BB,BB,BB,BB,AA,BB,AA,AA,AA,BB,AA,AA,BB,BB,BB,AA,BB,AA,BB,BB,BB,BB,AA,AA,BB,BB,AA,BB,BB,BB,BB,AA,BB,AA,BB,BB
JHI-Hv50k-2016-204392,AA,BB,BB,AA,BB,AA,AA,AA,BB,BB,AA,AA,AA,AA,BB,AA,BB,AA,AA,BB,BB,BB,-,BB,AA,BB,BB,AA,AA,BB,AA,BB,AA,AA,BB,BB,BB,BB,BB,BB,AA,BB,AA,AA,AA,BB,AA,AA,BB,BB,BB,AA,BB,AA,BB,BB,BB,BB,AA,AA,BB,BB,AA,BB,BB,BB,BB,AA,BB,AA,BB,BB
JHI-Hv50k-2016-203080,AA,BB,BB,BB,BB,AA,AA,AA,BB,BB,AA,AA,AA,AA,BB,AA,BB,AA,AA,BB,BB,BB,-,BB,AA,BB,BB,AA,AA,BB,AA,BB,AA,BB,BB,BB,AA,AA,BB,BB,AA,BB,AA,AA,AA,BB,AA,AA,AA,BB,BB,AA,AA,AA,BB,BB,-,BB,AA,AA,BB,BB,AA,BB,BB,-,-,AA,BB,AA,BB,AA
M_E_51,AA,BB,BB,BB,BB,AA,AA,AA,BB,BB,-,AA,BB,AA,BB,AA,BB,AA,AA,BB,BB,BB,BB,BB,AA,BB,BB,BB,AA,BB,AA,BB,AA,BB,BB,BB,AA,AA,BB,BB,AA,BB,AA,AA,BB,BB,-,AA,AA,BB,BB,BB,AA,BB,-,BB,BB,BB,BB,AA,BB,BB,AA,-,BB,-,-,AA,BB,BB,AA,AA
JHI-Hv50k-2016-201579,AA,BB,BB,BB,BB,AA,AA,AA,BB,BB,BB,AA,AA,AA,BB,AA,BB,AA,AA,BB,BB,BB,AA,BB,AA,BB,BB,AA,AA,BB,AA,BB,AA,BB,BB,BB,AA,AA,BB,BB,AA,BB,AA,AA,BB,BB,AA,AA,-,AA,BB,AA,AA,BB,BB,BB,BB,BB,AA,AA,BB,BB,AA,BB,BB,-,BB,AA,BB,AA,AA,-
JHI-Hv50k-2016-201578,AA,BB,BB,BB,BB,AA,AA,AA,BB,BB,BB,AA,AA,AA,BB,AA,BB,AA,AA,BB,BB,BB,AA,BB,AA,BB,BB,AA,AA,BB,AA,BB,AA,BB,BB,BB,AA,AA,BB,BB,AA,BB,AA,AA,BB,BB,AA,AA,AA,AA,BB,AA,AA,BB,BB,BB,BB,BB,AA,AA,BB,BB,AA,BB,BB,-,BB,AA,BB,AA,AA,AA
JHI-Hv50k-2016-201896,AA,BB,BB,BB,BB,AA,AA,AA,BB,BB,BB,AA,AA,AA,BB,AA,BB,AA,AA,BB,BB,BB,AA,BB,AA,BB,BB,AA,AA,BB,AA,BB,AA,BB,BB,BB,AA,AA,BB,BB,AA,BB,AA,AA,BB,BB,AA,AA,AA,AA,BB,AA,AA,AA,BB,BB,BB,BB,AA,AA,BB,BB,AA,BB,BB,-,BB,AA,BB,AA,AA,AA
JHI-Hv50k-2016-201777,AA,BB,BB,BB,BB,AA,AA,AA,BB,BB,BB,AA,AA,AA,BB,AA,BB,-,AA,BB,BB,BB,AA,BB,AA,BB,BB,AA,AA,BB,AA,BB,AA,BB,BB,BB,AA,AA,BB,BB,AA,BB,AA,AA,BB,BB,AA,AA,AA,BB,BB,AA,BB,AA,BB,BB,BB,BB,AA,AA,BB,BB,AA,BB,BB,-,BB,AA,BB,AA,AA,AA
JHI-Hv50k-2016-201773,AA,BB,BB,BB,BB,AA,AA,AA,BB,BB,BB,AA,AA,AA,BB,AA,BB,AA,AA,BB,BB,BB,AA,BB,AA,BB,BB,AA,AA,BB,AA,BB,AA,BB,BB,BB,AA,AA,BB,BB,AA,BB,AA,AA,BB,BB,AA,AA,AA,BB,BB,AA,BB,AA,BB,BB,BB,BB,AA,AA,BB,BB,AA,BB,BB,AA,-,AA,BB,AA,AA,AA
JHI-Hv50k-2016-201745,AA,BB,BB,BB,BB,AA,AA,AA,BB,BB,BB,AA,AA,AA,BB,AA,BB,AA,AA,BB,BB,BB,AA,BB,AA,BB,BB,AA,AA,BB,AA,BB,AA,BB,BB,BB,AA,AA,BB,BB,AA,BB,AA,AA,BB,BB,AA,AA,-,BB,BB,AA,BB,BB,BB,BB,BB,BB,AA,AA,BB,BB,AA,BB,BB,AA,BB,AA,BB,AA,AA,-
JHI-Hv50k-2016-201484,AA,BB,BB,BB,AA,AA,AA,AA,BB,BB,BB,AA,AA,AA,BB,AA,BB,AA,AA,BB,BB,BB,AA,BB,AA,BB,BB,AA,AA,BB,AA,BB,AA,BB,BB,BB,AA,AA,BB,BB,AA,BB,AA,AA,BB,BB,AA,AA,AA,BB,BB,AA,AA,BB,BB,BB,BB,BB,AA,AA,BB,BB,AA,BB,BB,AA,BB,AA,BB,AA,AA,AA
JHI-Hv50k-2016-200641,AA,BB,BB,BB,AA,AA,AA,AA,BB,BB,BB,AA,AA,AA,BB,AA,BB,AA,AA,BB,BB,BB,-,BB,AA,BB,BB,-,AA,BB,AA,BB,AA,-,-,BB,AA,-,-,BB,AA,BB,AA,-,BB,BB,AA,AA,AA,-,-,AA,-,BB,BB,BB,BB,-,-,AA,-,BB,-,BB,BB,AA,-,AA,BB,AA,AA,BB
JHI-Hv50k-2016-200713,AA,BB,BB,BB,AA,AA,AA,AA,BB,BB,BB,AA,AA,AA,BB,AA,BB,AA,AA,BB,BB,BB,AA,BB,AA,BB,BB,-,AA,BB,AA,BB,AA,BB,BB,BB,-,AA,BB,BB,AA,BB,AA,AA,BB,BB,AA,AA,AA,AA,BB,AA,BB,BB,BB,BB,BB,BB,AA,AA,BB,BB,AA,BB,BB,AA,BB,AA,BB,AA,AA,BB
JHI-Hv50k-2016-198926,AA,BB,BB,BB,AA,AA,AA,AA,BB,BB,BB,AA,AA,AA,BB,AA,BB,AA,AA,BB,BB,AA,AA,AA,AA,BB,BB,BB,AA,BB,AA,BB,AA,BB,BB,BB,AA,AA,BB,BB,AA,BB,AA,AA,AA,BB,AA,AA,AA,BB,AA,AA,BB,BB,BB,BB,BB,BB,AA,AA,BB,BB,BB,BB,BB,AA,BB,AA,BB,AA,AA,BB
JHI-Hv50k-2016-196798,AA,AA,BB,BB,AA,AA,AA,BB,BB,BB,BB,AA,AA,AA,AA,AA,BB,AA,AA,BB,BB,AA,AA,AA,BB,BB,BB,BB,BB,BB,AA,AA,AA,BB,BB,BB,AA,AA,BB,BB,AA,BB,AA,AA,AA,BB,AA,AA,AA,BB,AA,AA,AA,BB,BB,BB,BB,BB,AA,AA,BB,BB,BB,BB,BB,AA,BB,BB,BB,AA,AA,BB
JHI-Hv50k-2016-196649,AA,AA,BB,BB,AA,AA,AA,BB,BB,BB,BB,AA,AA,AA,AA,AA,BB,AA,AA,BB,BB,AA,AA,AA,BB,BB,BB,BB,BB,BB,AA,AA,AA,BB,BB,BB,AA,AA,BB,BB,AA,BB,AA,AA,AA,BB,AA,AA,AA,BB,AA,AA,AA,BB,BB,BB,BB,BB,AA,AA,BB,BB,BB,BB,BB,AA,BB,BB,BB,AA,AA,BB
JHI-Hv50k-2016-196379,AA,AA,BB,BB,AA,AA,AA,BB,BB,BB,BB,AA,AA,AA,AA,AA,BB,AA,AA,BB,BB,AA,AA,AA,BB,BB,BB,BB,BB,BB,-,AA,AA,BB,BB,BB,AA,AA,BB,BB,AA,AA,AA,AA,AA,BB,AA,AA,-,BB,AA,AA,AA,BB,BB,BB,-,BB,AA,AA,BB,BB,BB,BB,BB,AA,BB,BB,BB,AA,AA,-
JHI-Hv50k-2016-196357,AA,AA,BB,BB,AA,AA,AA,BB,BB,BB,BB,AA,AA,AA,AA,AA,BB,AA,AA,BB,BB,AA,AA,AA,BB,BB,BB,BB,BB,BB,-,AA,AA,BB,BB,BB,AA,AA,BB,BB,AA,AA,AA,AA,AA,BB,AA,AA,-,BB,AA,AA,AA,BB,BB,BB,BB,BB,AA,AA,BB,BB,BB,BB,BB,AA,BB,BB,BB,AA,AA,BB
JHI-Hv50k-2016-196287,AA,AA,BB,BB,AA,AA,AA,BB,BB,BB,BB,AA,AA,AA,AA,AA,BB,AA,AA,BB,BB,AA,AA,AA,BB,BB,BB,BB,BB,BB,AA,AA,AA,BB,BB,BB,AA,AA,BB,BB,AA,AA,AA,AA,AA,BB,AA,AA,AA,BB,AA,AA,AA,BB,BB,BB,BB,BB,AA,AA,BB,BB,BB,BB,BB,AA,BB,BB,BB,AA,AA,BB
JHI-Hv50k-2016-196280,AA,AA,BB,BB,AA,AA,AA,BB,BB,BB,BB,AA,AA,AA,AA,AA,BB,AA,AA,BB,BB,AA,AA,AA,BB,BB,BB,BB,BB,BB,AA,AA,AA,BB,BB,BB,AA,AA,BB,BB,AA,AA,AA,AA,AA,BB,AA,AA,AA,BB,AA,AA,AA,BB,BB,BB,BB,BB,AA,AA,BB,BB,BB,BB,BB,AA,BB,BB,BB,AA,AA,BB
JHI-Hv50k-2016-196276,-,AA,BB,BB,AA,AA,AA,BB,-,BB,BB,AA,AA,AA,AA,AA,-,AA,AA,BB,BB,AA,AA,AA,BB,BB,BB,BB,BB,BB,AA,AA,AA,BB,BB,BB,AA,AA,BB,BB,AA,AA,AA,AA,AA,BB,AA,AA,AA,BB,AA,AA,AA,BB,BB,BB,BB,BB,AA,AA,BB,BB,BB,BB,BB,AA,BB,BB,BB,AA,AA,BB
JHI-Hv50k-2016-196158,AA,AA,BB,BB,AA,AA,AA,BB,BB,BB,BB,AA,AA,AA,AA,AA,BB,AA,AA,BB,BB,AA,AA,AA,BB,BB,BB,BB,BB,BB,AA,AA,AA,BB,BB,BB,AA,AA,BB,BB,AA,AA,AA,AA,AA,BB,AA,AA,AA,BB,AA,AA,AA,BB,BB,BB,BB,BB,AA,AA,BB,BB,BB,BB,BB,AA,BB,BB,BB,AA,AA,BB
JHI-Hv50k-2016-196155,AA,AA,BB,BB,AA,AA,AA,BB,BB,BB,BB,AA,AA,AA,AA,AA,BB,AA,AA,BB,BB,AA,AA,AA,BB,BB,BB,BB,BB,BB,AA,AA,AA,BB,BB,BB,AA,AA,BB,BB,AA,AA,AA,AA,AA,BB,AA,AA,AA,BB,AA,AA,AA,BB,BB,BB,BB,BB,AA,AA,BB,BB,BB,BB,BB,AA,BB,BB,BB,AA,AA,BB
JHI-Hv50k-2016-195729,AA,AA,BB,BB,AA,AA,AA,BB,BB,BB,BB,AA,AA,AA,AA,AA,BB,AA,AA,BB,BB,AA,AA,AA,BB,BB,BB,BB,BB,BB,AA,AA,AA,BB,BB,BB,AA,AA,BB,BB,AA,AA,AA,AA,AA,BB,AA,AA,AA,BB,AA,AA,AA,BB,BB,BB,BB,BB,AA,AA,BB,BB,BB,BB,BB,AA,BB,BB,BB,AA,AA,BB
JHI-Hv50k-2016-195512,AA,AA,BB,BB,AA,AA,AA,BB,BB,AA,BB,AA,AA,AA,AA,AA,BB,AA,AA,BB,BB,AA,AA,AA,BB,BB,AA,BB,BB,BB,AA,AA,AA,BB,BB,BB,AA,AA,BB,BB,AA,AA,AA,AA,AA,BB,AA,AA,AA,BB,AA,AA,AA,BB,BB,BB,BB,BB,AA,AA,BB,BB,BB,BB,BB,AA,BB,BB,BB,AA,AA,BB
JHI-Hv50k-2016-195051,AA,AA,BB,BB,AA,AA,AA,BB,BB,AA,BB,AA,AA,AA,AA,AA,BB,AA,AA,BB,BB,AA,AA,AA,BB,BB,AA,BB,BB,BB,AA,AA,AA,BB,BB,BB,AA,AA,BB,BB,AA,AA,AA,AA,AA,BB,AA,AA,AA,AA,AA,AA,AA,BB,BB,BB,BB,BB,AA,AA,BB,BB,BB,BB,BB,AA,BB,BB,BB,AA,AA,BB
M_E_135,AA,AA,BB,BB,AA,AA,AA,BB,-,AA,BB,AA,BB,AA,AA,AA,BB,AA,AA,BB,BB,AA,BB,AA,BB,BB,AA,BB,BB,BB,AA,AA,AA,BB,BB,AA,AA,AA,BB,BB,AA,AA,AA,AA,AA,BB,BB,AA,AA,BB,AA,AA,AA,BB,BB,BB,BB,BB,AA,AA,BB,BB,BB,BB,BB,AA,BB,BB,BB,AA,AA,BB
M_E_49,AA,AA,BB,BB,AA,AA,AA,BB,-,BB,BB,AA,BB,AA,AA,AA,BB,AA,AA,BB,BB,AA,BB,AA,BB,BB,BB,BB,BB,BB,AA,AA,-,BB,BB,BB,AA,AA,BB,BB,AA,BB,AA,AA,AA,BB,-,AA,AA,BB,AA,AA,AA,BB,BB,BB,BB,BB,BB,AA,-,BB,BB,-,BB,AA,-,BB,BB,BB,AA,BB
M_E_50,-,AA,BB,-,AA,AA,AA,BB,AA,-,BB,AA,BB,AA,AA,AA,BB,AA,AA,-,BB,AA,BB,AA,-,BB,BB,BB,BB,BB,AA,AA,-,BB,BB,-,AA,AA,-,BB,AA,BB,AA,AA,AA,-,AA,AA,AA,-,AA,AA,AA,-,BB,-,-,BB,-,AA,-,BB,BB,-,BB,AA,-,BB,-,BB,AA,BB
M_E_141,AA,AA,BB,BB,AA,BB,BB,BB,AA,AA,BB,AA,BB,AA,AA,AA,BB,AA,AA,BB,BB,AA,BB,AA,BB,BB,AA,-,AA,BB,AA,AA,AA,BB,BB,BB,AA,BB,BB,BB,AA,BB,AA,AA,AA,BB,BB,AA,AA,AA,AA,AA,AA,BB,BB,BB,AA,BB,AA,AA,BB,BB,BB,BB,AA,AA,BB,AA,BB,BB,BB,BB
JHI-Hv50k-2016-194477,AA,AA,BB,BB,AA,AA,BB,BB,AA,AA,BB,AA,AA,AA,AA,AA,BB,AA,AA,BB,BB,AA,AA,AA,BB,BB,AA,BB,BB,BB,AA,AA,AA,BB,BB,BB,AA,AA,BB,BB,AA,AA,AA,AA,AA,BB,AA,AA,AA,BB,AA,AA,AA,BB,BB,BB,AA,BB,AA,AA,BB,BB,BB,BB,BB,BB,BB,BB,BB,AA,AA,BB
JHI-Hv50k-2016-194445,AA,AA,BB,BB,AA,AA,BB,BB,AA,AA,BB,AA,AA,AA,AA,AA,BB,AA,AA,BB,BB,AA,AA,AA,BB,BB,AA,BB,BB,BB,AA,AA,AA,BB,BB,BB,AA,AA,BB,BB,AA,AA,AA,AA,AA,BB,AA,AA,AA,BB,AA,AA,AA,BB,BB,BB,AA,BB,AA,AA,BB,BB,BB,BB,BB,-,BB,BB,BB,AA,AA,BB
JHI-Hv50k-2016-193644,AA,AA,BB,BB,AA,AA,BB,BB,AA,AA,BB,AA,AA,AA,AA,AA,BB,AA,AA,BB,BB,AA,AA,AA,BB,BB,AA,-,BB,BB,AA,AA,AA,BB,BB,BB,AA,AA,BB,BB,AA,BB,AA,AA,AA,BB,AA,AA,AA,BB,AA,AA,BB,BB,BB,BB,AA,BB,AA,AA,BB,BB,BB,BB,BB,AA,BB,BB,BB,AA,AA,AA
JHI-Hv50k-2016-193692,AA,AA,BB,BB,AA,AA,BB,BB,AA,AA,BB,AA,AA,AA,AA,AA,BB,AA,AA,BB,BB,AA,AA,AA,BB,BB,AA,-,BB,BB,AA,AA,AA,BB,BB,BB,AA,AA,BB,BB,AA,BB,AA,AA,AA,BB,AA,AA,AA,BB,AA,AA,BB,BB,BB,BB,AA,BB,AA,AA,BB,BB,BB,BB,BB,AA,BB,BB,BB,AA,AA,BB
