,IND1,IND3,IND7,IND8,IND9,IND10,IND11,IND12,IND14,IND15,IND17,IND18,IND19,IND21,IND22,IND23,IND24,IND25,IND26,IND27,IND28,IND29,IND31,IND32,IND33,IND34,IND36,IND37_IND57,IND38,IND41,IND42,IND44,IND48,IND49,IND50,IND52,IND53,IND54,IND59,IND60,IND61,IND62,IND63,IND65,IND66,IND67,IND68,IND69,IND70,IND71,IND72,IND73,IND74,IND75,IND76,IND77,IND79,IND80,IND81,IND82,IND84,IND85,IND87,IND88,IND89,IND92,IND93,IND94,IND95,IND96,IND97,IND98,IND99,IND101,IND102
JHI-Hv50k-2016-480947,BB,BB,AA,-,AA,BB,AA,BB,BB,BB,BB,BB,AA,BB,AA,BB,AA,AA,AA,BB,AA,BB,BB,-,AA,AA,-,AA,BB,BB,AA,AA,AA,AA,BB,BB,BB,AA,AA,AA,BB,BB,AA,BB,AA,BB,AA,BB,BB,AA,-,BB,AA,-,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,BB,AA,BB,BB,BB,AA,AA,AA,BB,AA,AA
JHI-Hv50k-2016-480145,BB,BB,AA,BB,AA,BB,AA,BB,BB,BB,BB,BB,AA,BB,AA,BB,AA,AA,AA,BB,AA,BB,BB,BB,AA,AA,BB,AA,BB,BB,-,AA,AA,AA,BB,BB,BB,AA,AA,AA,BB,BB,AA,-,AA,BB,AA,BB,BB,AA,BB,-,AA,BB,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,BB,AA,BB,BB,BB,AA,AA,AA,BB,AA,-
JHI-Hv50k-2016-479209,BB,BB,AA,BB,AA,BB,AA,BB,BB,BB,BB,BB,AA,BB,AA,BB,AA,AA,AA,BB,AA,BB,BB,BB,AA,AA,BB,AA,BB,BB,-,AA,AA,AA,BB,BB,BB,AA,AA,AA,BB,BB,AA,-,AA,BB,AA,BB,BB,AA,BB,-,AA,BB,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,BB,AA,BB,BB,BB,AA,AA,AA,BB,AA,-
JHI-Hv50k-2016-478140,BB,BB,AA,BB,AA,BB,AA,BB,BB,BB,BB,BB,AA,BB,AA,BB,AA,AA,AA,BB,AA,BB,BB,BB,AA,AA,BB,AA,BB,BB,-,AA,AA,AA,BB,BB,BB,-,AA,AA,BB,BB,AA,-,AA,BB,AA,BB,BB,AA,BB,-,AA,BB,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,BB,AA,BB,BB,BB,AA,AA,AA,BB,AA,-
M_E_127,BB,-,-,-,-,-,AA,BB,BB,-,BB,-,-,BB,AA,BB,AA,AA,-,BB,AA,AA,BB,BB,AA,AA,BB,AA,-,BB,BB,AA,-,AA,BB,-,BB,-,-,AA,BB,-,AA,-,AA,-,-,-,AA,-,AA,-,BB,-,AA,AA,AA,-,AA,AA,-,AA,-,-,AA,AA,-,BB,BB,-,-,AA,BB,-,-
JHI-Hv50k-2016-15068,BB,BB,BB,AA,AA,AA,AA,BB,AA,BB,AA,AA,BB,AA,AA,BB,BB,AA,BB,AA,AA,AA,BB,BB,AA,AA,BB,BB,BB,AA,BB,AA,BB,AA,AA,AA,AA,AA,BB,AA,AA,BB,AA,AA,BB,AA,AA,BB,BB,BB,AA,BB,AA,BB,AA,BB,BB,AA,AA,-,AA,AA,BB,BB,AA,AA,BB,AA,BB,BB,BB,BB,AA,AA,AA
JHI-Hv50k-2016-15051,BB,BB,BB,AA,AA,AA,AA,BB,AA,BB,AA,AA,BB,AA,AA,BB,BB,AA,BB,AA,AA,AA,BB,BB,AA,AA,BB,BB,BB,AA,BB,AA,BB,AA,AA,AA,AA,AA,BB,AA,AA,BB,AA,AA,BB,AA,AA,BB,BB,BB,AA,BB,AA,BB,AA,BB,BB,AA,AA,BB,AA,AA,BB,BB,AA,AA,BB,AA,BB,BB,BB,BB,AA,AA,AA
JHI-Hv50k-2016-16542,BB,BB,BB,AA,BB,AA,AA,BB,AA,AA,AA,AA,BB,AA,AA,BB,BB,AA,BB,AA,AA,AA,BB,BB,AA,AA,BB,BB,BB,AA,-,AA,BB,AA,AA,AA,BB,-,BB,AA,AA,BB,AA,-,AA,AA,AA,BB,BB,BB,AA,BB,BB,BB,AA,BB,BB,BB,AA,AA,AA,BB,BB,BB,AA,BB,BB,AA,BB,BB,AA,BB,BB,AA,-
JHI-Hv50k-2016-16517,BB,BB,BB,AA,BB,AA,AA,BB,AA,AA,AA,AA,BB,AA,AA,BB,BB,AA,BB,AA,AA,AA,BB,BB,AA,AA,BB,BB,BB,AA,BB,AA,BB,AA,AA,AA,BB,-,BB,AA,AA,BB,AA,AA,AA,AA,AA,BB,BB,BB,AA,BB,BB,BB,AA,BB,BB,BB,AA,AA,AA,BB,BB,BB,AA,BB,BB,AA,BB,BB,AA,BB,BB,AA,AA
JHI-Hv50k-2016-16516,BB,BB,BB,AA,BB,AA,AA,BB,AA,AA,AA,AA,BB,AA,AA,BB,BB,AA,BB,AA,AA,AA,BB,BB,-,AA,BB,BB,BB,AA,BB,AA,BB,AA,AA,AA,BB,AA,BB,AA,AA,BB,AA,AA,AA,AA,AA,BB,BB,BB,AA,BB,BB,BB,AA,BB,BB,BB,AA,AA,AA,BB,BB,BB,AA,BB,BB,AA,BB,BB,AA,BB,BB,AA,AA
JHI-Hv50k-2016-16514,BB,BB,BB,AA,BB,AA,AA,BB,AA,AA,AA,AA,BB,AA,AA,BB,BB,AA,BB,AA,AA,AA,BB,BB,AA,AA,BB,BB,BB,AA,BB,AA,BB,AA,AA,AA,BB,AA,BB,AA,AA,BB,AA,AA,AA,AA,AA,BB,BB,BB,AA,BB,BB,BB,AA,BB,BB,BB,AA,AA,AA,BB,BB,BB,AA,BB,BB,AA,BB,BB,AA,BB,BB,AA,AA
JHI-Hv50k-2016-16499,BB,BB,BB,AA,BB,AA,AA,BB,AA,AA,AA,AA,BB,AA,AA,BB,BB,AA,BB,AA,AA,AA,BB,BB,AA,AA,BB,BB,BB,AA,BB,AA,BB,AA,AA,AA,BB,-,BB,AA,AA,BB,AA,AA,AA,AA,AA,BB,BB,BB,AA,BB,BB,BB,AA,BB,BB,BB,AA,AA,AA,BB,BB,BB,AA,BB,BB,AA,BB,BB,AA,BB,BB,AA,-
JHI-Hv50k-2016-18386,BB,BB,BB,AA,BB,BB,AA,BB,AA,AA,BB,AA,BB,AA,AA,BB,BB,AA,AA,AA,AA,AA,BB,BB,AA,AA,BB,BB,BB,AA,BB,AA,BB,AA,AA,AA,BB,AA,BB,AA,AA,BB,AA,AA,AA,AA,AA,BB,BB,BB,AA,BB,BB,BB,AA,BB,BB,BB,AA,AA,AA,BB,BB,AA,AA,BB,BB,AA,BB,BB,AA,BB,BB,AA,AA
JHI-Hv50k-2016-18385,BB,BB,BB,AA,BB,BB,AA,BB,AA,AA,BB,AA,BB,AA,AA,BB,BB,AA,AA,AA,AA,AA,BB,BB,AA,AA,BB,BB,BB,AA,BB,AA,BB,AA,AA,AA,BB,-,BB,AA,AA,BB,AA,AA,AA,AA,AA,BB,BB,BB,AA,BB,BB,BB,AA,BB,BB,BB,AA,AA,AA,BB,BB,AA,AA,BB,BB,AA,BB,BB,AA,BB,BB,AA,AA
JHI-Hv50k-2016-18373,BB,BB,BB,AA,BB,BB,AA,BB,AA,AA,BB,AA,BB,AA,AA,BB,BB,AA,AA,AA,AA,AA,BB,BB,AA,AA,BB,BB,BB,AA,BB,AA,BB,AA,AA,AA,BB,-,BB,AA,AA,BB,AA,-,AA,AA,AA,BB,BB,BB,AA,BB,BB,BB,AA,BB,BB,BB,AA,AA,AA,BB,BB,AA,AA,BB,BB,AA,BB,BB,AA,BB,BB,AA,AA
JHI-Hv50k-2016-18338,BB,BB,BB,AA,BB,BB,AA,BB,AA,AA,BB,AA,BB,AA,AA,BB,BB,AA,AA,AA,AA,AA,BB,BB,AA,AA,BB,BB,BB,AA,BB,AA,BB,AA,AA,AA,BB,AA,BB,AA,AA,BB,AA,AA,AA,AA,AA,BB,BB,BB,AA,BB,BB,BB,AA,BB,BB,BB,AA,AA,AA,BB,BB,AA,AA,BB,BB,AA,BB,BB,AA,BB,BB,AA,AA
JHI-Hv50k-2016-18382,BB,BB,BB,AA,BB,BB,AA,BB,AA,AA,BB,AA,BB,AA,AA,BB,BB,AA,AA,AA,AA,AA,BB,BB,AA,AA,BB,BB,BB,AA,BB,AA,BB,AA,AA,AA,BB,-,BB,AA,AA,BB,AA,-,AA,AA,AA,BB,BB,BB,AA,BB,BB,BB,AA,BB,BB,BB,AA,AA,AA,BB,BB,AA,AA,BB,BB,AA,BB,BB,AA,BB,BB,AA,-
M_E_116,BB,AA,BB,AA,BB,BB,AA,AA,BB,BB,BB,BB,BB,AA,AA,AA,BB,AA,AA,BB,AA,BB,AA,-,AA,AA,AA,BB,BB,BB,AA,AA,-,BB,AA,BB,BB,-,AA,AA,AA,AA,AA,BB,BB,-,BB,BB,BB,BB,BB,AA,BB,AA,AA,AA,BB,BB,AA,AA,AA,AA,AA,BB,BB,BB,BB,BB,-,-,BB,AA,BB,BB,BB
JHI-Hv50k-2016-437197,BB,AA,BB,AA,BB,BB,BB,AA,AA,BB,BB,BB,BB,AA,AA,AA,BB,AA,AA,BB,AA,BB,AA,AA,AA,AA,AA,BB,BB,BB,AA,AA,AA,BB,AA,BB,BB,AA,AA,AA,AA,AA,AA,BB,BB,AA,BB,BB,BB,BB,BB,AA,AA,AA,AA,AA,BB,BB,AA,AA,AA,BB,AA,BB,BB,BB,BB,BB,AA,BB,BB,AA,BB,BB,BB
JHI-Hv50k-2016-439748,BB,AA,BB,AA,BB,BB,BB,AA,AA,BB,BB,BB,BB,AA,AA,AA,BB,AA,AA,BB,AA,BB,AA,AA,AA,AA,AA,BB,BB,BB,AA,-,-,BB,-,BB,BB,AA,-,-,-,AA,-,BB,-,-,BB,BB,BB,BB,BB,AA,-,-,-,-,BB,-,BB,AA,-,BB,-,BB,BB,BB,BB,BB,-,BB,BB,-,BB,BB,BB
JHI-Hv50k-2016-439749,BB,AA,BB,AA,BB,-,BB,AA,AA,BB,BB,BB,BB,AA,AA,AA,BB,AA,AA,BB,AA,BB,AA,AA,AA,AA,AA,BB,BB,BB,AA,AA,AA,BB,AA,BB,BB,AA,AA,AA,AA,AA,AA,BB,AA,AA,BB,BB,BB,BB,BB,AA,AA,AA,AA,AA,BB,-,BB,AA,AA,BB,AA,BB,BB,BB,BB,BB,AA,BB,BB,AA,BB,BB,BB
JHI-Hv50k-2016-439545,BB,AA,BB,AA,BB,BB,BB,AA,AA,BB,BB,BB,BB,AA,AA,AA,BB,AA,AA,BB,AA,BB,AA,AA,AA,AA,AA,BB,BB,BB,AA,AA,AA,BB,AA,BB,BB,-,AA,AA,AA,AA,AA,BB,AA,AA,BB,BB,BB,BB,BB,AA,AA,AA,AA,AA,BB,-,BB,AA,AA,BB,AA,BB,BB,BB,BB,BB,AA,BB,BB,AA,BB,BB,BB
JHI-Hv50k-2016-440728,BB,AA,BB,AA,BB,BB,BB,AA,AA,BB,BB,BB,BB,AA,AA,AA,BB,AA,AA,AA,AA,BB,AA,AA,AA,AA,AA,BB,BB,BB,AA,AA,AA,BB,AA,BB,BB,AA,AA,AA,AA,AA,AA,-,AA,AA,BB,BB,BB,BB,BB,AA,AA,AA,AA,AA,BB,-,BB,AA,AA,BB,AA,BB,BB,BB,BB,BB,AA,BB,BB,AA,BB,BB,BB
M_E_118,AA,AA,BB,BB,AA,BB,BB,AA,BB,BB,BB,BB,BB,AA,AA,AA,BB,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,BB,BB,BB,AA,BB,AA,-,BB,BB,BB,AA,BB,AA,AA,AA,AA,BB,AA,AA,BB,AA,BB,BB,BB,AA,BB,BB,AA,BB,BB,-,BB,AA,AA,-,-,AA,AA,AA,-,BB,AA,-,BB,AA,BB,BB,BB
JHI-Hv50k-2016-451988,AA,AA,BB,BB,AA,BB,BB,AA,BB,BB,BB,BB,BB,AA,AA,AA,BB,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,BB,BB,BB,AA,BB,AA,BB,BB,BB,BB,AA,-,AA,AA,AA,AA,BB,AA,AA,BB,AA,BB,BB,BB,AA,BB,BB,AA,AA,BB,BB,BB,AA,AA,BB,AA,AA,AA,AA,BB,BB,AA,BB,BB,AA,BB,AA,BB
JHI-Hv50k-2016-453342,AA,AA,BB,BB,AA,BB,BB,AA,BB,AA,AA,BB,-,AA,AA,AA,BB,BB,AA,AA,AA,AA,AA,AA,AA,AA,AA,BB,BB,-,AA,BB,AA,BB,BB,BB,BB,AA,AA,AA,AA,AA,AA,BB,AA,BB,BB,AA,BB,BB,BB,AA,AA,AA,AA,AA,AA,BB,BB,AA,AA,BB,AA,AA,AA,AA,BB,BB,AA,BB,BB,AA,AA,AA,BB
JHI-Hv50k-2016-453316,AA,AA,BB,BB,AA,BB,BB,AA,BB,AA,AA,BB,BB,AA,AA,AA,BB,BB,AA,AA,AA,AA,AA,AA,AA,AA,AA,BB,BB,BB,AA,BB,AA,BB,BB,BB,BB,AA,AA,AA,AA,AA,AA,-,AA,BB,BB,AA,BB,BB,BB,AA,AA,AA,AA,AA,AA,BB,BB,AA,AA,BB,AA,AA,AA,AA,BB,BB,AA,BB,BB,AA,AA,AA,BB
JHI-Hv50k-2016-453425,AA,AA,BB,BB,AA,BB,BB,AA,BB,AA,AA,BB,BB,AA,AA,AA,BB,BB,AA,AA,AA,AA,AA,AA,AA,AA,AA,BB,BB,BB,AA,BB,AA,BB,BB,BB,BB,AA,AA,AA,AA,AA,AA,BB,AA,BB,BB,AA,BB,BB,BB,AA,AA,AA,AA,AA,AA,BB,BB,AA,AA,BB,AA,AA,AA,AA,BB,BB,AA,BB,BB,AA,AA,AA,BB
JHI-Hv50k-2016-453335,AA,AA,BB,BB,AA,BB,BB,AA,BB,AA,AA,BB,BB,AA,AA,AA,BB,BB,AA,AA,AA,AA,AA,AA,AA,AA,AA,BB,BB,BB,AA,BB,AA,BB,BB,BB,BB,AA,AA,AA,AA,AA,AA,BB,AA,BB,BB,AA,BB,BB,BB,AA,AA,AA,AA,AA,AA,BB,BB,AA,AA,BB,AA,AA,AA,AA,BB,BB,AA,BB,BB,AA,AA,AA,BB
JHI-Hv50k-2016-453327,AA,AA,BB,BB,AA,BB,BB,AA,BB,AA,AA,BB,BB,AA,AA,AA,BB,BB,AA,AA,AA,AA,AA,AA,AA,AA,AA,BB,BB,BB,AA,BB,AA,BB,BB,BB,BB,AA,AA,AA,AA,AA,AA,BB,AA,BB,BB,AA,BB,BB,BB,AA,AA,AA,AA,AA,AA,BB,BB,AA,AA,BB,AA,AA,AA,AA,BB,BB,AA,BB,BB,AA,AA,AA,BB
JHI-Hv50k-2016-453326,AA,AA,BB,BB,AA,BB,BB,AA,BB,AA,AA,BB,BB,AA,AA,AA,BB,BB,AA,AA,AA,AA,AA,AA,AA,AA,AA,BB,BB,BB,AA,BB,AA,BB,BB,BB,BB,-,AA,AA,AA,AA,AA,BB,AA,BB,BB,AA,BB,BB,BB,AA,AA,AA,AA,AA,AA,BB,BB,AA,AA,BB,AA,AA,AA,AA,BB,BB,AA,BB,BB,AA,AA,AA,BB
JHI-Hv50k-2016-453317,AA,AA,BB,BB,AA,BB,BB,AA,BB,AA,AA,BB,BB,AA,AA,AA,BB,BB,AA,AA,AA,AA,AA,AA,AA,AA,AA,BB,BB,BB,AA,BB,AA,BB,BB,BB,BB,AA,AA,AA,AA,AA,AA,BB,AA,BB,BB,AA,BB,BB,BB,AA,AA,AA,AA,AA,AA,BB,BB,AA,AA,BB,AA,AA,AA,AA,BB,BB,AA,BB,BB,AA,AA,AA,BB
JHI-Hv50k-2016-453315,AA,AA,BB,BB,AA,BB,BB,AA,BB,AA,AA,BB,BB,AA,AA,AA,BB,BB,AA,AA,AA,AA,AA,AA,AA,AA,AA,BB,BB,BB,AA,BB,AA,BB,BB,BB,BB,AA,AA,AA,AA,AA,AA,BB,AA,BB,BB,AA,BB,BB,BB,AA,AA,AA,AA,AA,AA,BB,BB,AA,AA,BB,AA,AA,AA,AA,BB,BB,AA,BB,BB,AA,AA,AA,BB
JHI-Hv50k-2016-453012,AA,AA,BB,BB,AA,BB,BB,AA,BB,AA,AA,BB,BB,AA,AA,AA,BB,BB,AA,AA,AA,AA,AA,AA,AA,AA,AA,BB,BB,BB,AA,BB,AA,BB,BB,BB,BB,AA,AA,AA,AA,AA,AA,BB,AA,BB,BB,AA,BB,BB,BB,AA,AA,AA,AA,AA,AA,BB,BB,AA,AA,BB,AA,AA,AA,AA,BB,BB,AA,BB,BB,AA,AA,AA,BB
JHI-Hv50k-2016-456555,BB,AA,BB,BB,AA,BB,AA,AA,BB,AA,BB,BB,-,AA,AA,AA,BB,BB,AA,AA,AA,AA,AA,AA,AA,AA,AA,BB,AA,BB,AA,BB,AA,AA,BB,BB,BB,AA,AA,AA,AA,AA,AA,AA,AA,BB,BB,AA,BB,BB,BB,AA,AA,BB,AA,AA,AA,AA,BB,AA,AA,BB,BB,AA,BB,AA,AA,BB,AA,AA,BB,AA,AA,AA,BB
JHI-Hv50k-2016-457722,AA,AA,BB,BB,AA,BB,AA,AA,BB,AA,BB,BB,AA,AA,AA,AA,BB,BB,AA,AA,AA,AA,AA,AA,AA,AA,AA,BB,AA,AA,AA,BB,AA,AA,BB,BB,BB,AA,AA,AA,BB,AA,AA,AA,AA,BB,BB,-,BB,BB,BB,AA,AA,BB,AA,AA,AA,AA,BB,AA,AA,BB,BB,AA,BB,AA,AA,BB,AA,AA,BB,AA,AA,AA,BB
JHI-Hv50k-2016-458086,AA,AA,BB,BB,AA,BB,AA,AA,BB,AA,BB,BB,AA,AA,AA,BB,BB,BB,AA,AA,AA,AA,AA,AA,AA,AA,AA,BB,AA,AA,AA,BB,AA,AA,BB,BB,BB,AA,AA,AA,BB,AA,AA,AA,AA,BB,BB,AA,BB,BB,BB,AA,AA,BB,AA,AA,AA,AA,BB,AA,AA,BB,BB,AA,BB,AA,AA,BB,AA,AA,BB,AA,AA,AA,BB
M_E_108,AA,AA,BB,AA,BB,BB,BB,AA,AA,BB,AA,AA,AA,-,BB,AA,AA,AA,BB,AA,BB,AA,AA,AA,AA,BB,AA,BB,BB,AA,BB,BB,AA,AA,AA,BB,BB,AA,BB,AA,AA,BB,AA,BB,BB,AA,AA,BB,BB,AA,BB,BB,AA,AA,BB,AA,AA,AA,AA,BB,BB,AA,BB,AA,AA,BB,BB,BB,BB,-,AA,BB,BB,AA,BB
JHI-Hv50k-2016-401965,AA,AA,BB,AA,-,BB,-,AA,AA,-,AA,AA,AA,AA,BB,AA,AA,AA,-,AA,-,AA,AA,AA,AA,AA,AA,-,BB,AA,BB,AA,-,AA,AA,-,-,AA,AA,AA,AA,BB,AA,BB,-,AA,AA,BB,BB,AA,BB,-,AA,AA,BB,AA,-,AA,AA,BB,BB,AA,-,AA,AA,-,-,-,-,-,AA,-,BB,AA,BB
JHI-Hv50k-2016-402178,AA,AA,BB,AA,BB,BB,BB,AA,AA,BB,AA,AA,AA,AA,BB,AA,AA,AA,BB,AA,BB,AA,AA,AA,AA,AA,AA,BB,BB,AA,BB,AA,BB,AA,AA,BB,BB,AA,AA,AA,AA,BB,AA,BB,BB,AA,AA,BB,BB,AA,BB,BB,AA,AA,BB,AA,BB,AA,AA,BB,BB,AA,BB,AA,AA,BB,BB,BB,BB,BB,AA,BB,BB,AA,BB
JHI-Hv50k-2016-401495,AA,AA,BB,AA,BB,BB,BB,AA,AA,BB,AA,AA,AA,AA,BB,AA,AA,AA,BB,AA,BB,AA,AA,AA,AA,AA,AA,BB,BB,AA,-,AA,BB,AA,AA,BB,BB,AA,AA,AA,AA,BB,AA,BB,BB,AA,AA,BB,BB,AA,BB,BB,AA,AA,BB,AA,BB,AA,AA,BB,BB,AA,BB,AA,AA,BB,BB,BB,BB,BB,AA,BB,BB,AA,BB
JHI-Hv50k-2016-388653,AA,AA,BB,AA,BB,BB,BB,AA,AA,BB,AA,AA,AA,AA,AA,AA,AA,AA,BB,BB,AA,AA,AA,AA,AA,AA,BB,BB,BB,AA,-,AA,BB,AA,AA,BB,BB,-,-,AA,AA,BB,AA,-,BB,AA,AA,BB,BB,AA,BB,BB,BB,AA,BB,BB,BB,AA,AA,BB,BB,AA,AA,AA,AA,BB,BB,BB,BB,AA,AA,BB,BB,AA,-
JHI-Hv50k-2016-388395,AA,-,BB,-,BB,BB,BB,-,-,BB,AA,-,AA,AA,AA,AA,AA,AA,BB,BB,AA,AA,AA,AA,AA,AA,BB,BB,BB,AA,-,-,BB,-,AA,BB,BB,-,-,-,AA,BB,-,-,BB,-,AA,BB,BB,AA,BB,BB,BB,AA,BB,BB,BB,AA,AA,BB,BB,-,-,AA,AA,BB,BB,BB,BB,-,AA,BB,BB,AA,AA
JHI-Hv50k-2016-23594,AA,AA,BB,BB,BB,BB,BB,AA,AA,BB,AA,AA,AA,AA,AA,AA,AA,AA,BB,BB,AA,AA,AA,AA,AA,BB,AA,BB,BB,AA,AA,BB,BB,AA,AA,BB,BB,AA,BB,AA,AA,BB,AA,AA,BB,AA,AA,BB,BB,AA,AA,-,BB,AA,BB,BB,BB,AA,AA,AA,BB,AA,AA,AA,AA,BB,BB,BB,BB,AA,AA,BB,BB,AA,AA
JHI-Hv50k-2016-383344,AA,AA,BB,BB,BB,BB,BB,AA,AA,BB,AA,AA,AA,AA,AA,AA,AA,AA,BB,BB,AA,AA,AA,AA,AA,BB,AA,BB,BB,AA,-,BB,BB,AA,AA,BB,BB,-,AA,AA,AA,BB,AA,BB,BB,AA,AA,BB,BB,AA,AA,BB,BB,AA,BB,AA,BB,AA,AA,AA,AA,AA,AA,AA,AA,BB,BB,BB,BB,AA,AA,BB,BB,AA,AA
JHI-Hv50k-2016-382877,AA,AA,BB,BB,BB,BB,BB,AA,AA,BB,AA,AA,AA,AA,AA,AA,AA,AA,BB,BB,AA,AA,AA,AA,AA,BB,AA,BB,BB,AA,BB,BB,BB,AA,AA,BB,BB,BB,AA,AA,AA,BB,AA,BB,BB,AA,AA,BB,BB,AA,AA,BB,AA,AA,BB,AA,BB,AA,AA,AA,AA,AA,AA,AA,AA,BB,BB,BB,BB,AA,AA,BB,BB,AA,AA
JHI-Hv50k-2016-381961,AA,AA,BB,BB,BB,BB,BB,AA,AA,BB,AA,AA,AA,AA,AA,AA,AA,AA,BB,AA,AA,AA,AA,AA,AA,BB,AA,BB,BB,AA,BB,BB,BB,AA,AA,BB,BB,BB,AA,AA,AA,BB,AA,BB,BB,AA,AA,BB,BB,AA,AA,BB,BB,AA,BB,AA,BB,AA,AA,AA,AA,AA,AA,AA,AA,BB,BB,BB,BB,AA,AA,BB,BB,AA,AA
JHI-Hv50k-2016-381950,AA,AA,BB,BB,BB,BB,BB,AA,AA,BB,AA,AA,AA,AA,AA,AA,AA,AA,BB,AA,AA,AA,AA,AA,AA,BB,AA,BB,BB,AA,BB,BB,BB,AA,AA,BB,BB,BB,AA,AA,AA,BB,AA,BB,BB,AA,AA,BB,BB,AA,AA,BB,BB,AA,BB,AA,BB,AA,AA,AA,AA,AA,AA,AA,AA,BB,BB,BB,BB,AA,AA,BB,BB,AA,AA
JHI-Hv50k-2016-381710,AA,AA,BB,BB,BB,BB,BB,AA,AA,BB,AA,AA,AA,AA,AA,AA,AA,AA,BB,AA,AA,AA,AA,AA,AA,BB,AA,BB,BB,AA,BB,BB,BB,AA,AA,BB,BB,BB,AA,AA,AA,BB,AA,BB,BB,AA,AA,BB,BB,AA,AA,BB,BB,AA,BB,AA,BB,AA,AA,AA,AA,AA,AA,AA,AA,BB,BB,BB,BB,AA,AA,BB,BB,AA,BB
M_E_101,AA,AA,BB,-,BB,BB,BB,AA,AA,BB,AA,AA,-,AA,AA,AA,AA,AA,BB,AA,AA,AA,AA,-,AA,BB,AA,BB,BB,AA,BB,BB,BB,AA,AA,BB,BB,AA,AA,AA,AA,BB,AA,BB,BB,AA,AA,BB,BB,AA,BB,BB,AA,AA,BB,AA,BB,-,AA,-,-,AA,AA,AA,AA,BB,BB,BB,-,-,-,BB,BB,AA,BB
M_E_100,-,AA,BB,-,BB,BB,BB,AA,AA,BB,AA,AA,AA,AA,AA,AA,AA,BB,BB,-,-,BB,AA,AA,AA,BB,BB,BB,BB,AA,BB,BB,-,AA,AA,BB,BB,AA,AA,AA,AA,BB,AA,BB,BB,AA,AA,BB,BB,AA,BB,BB,AA,AA,BB,AA,BB,AA,AA,-,AA,-,AA,AA,AA,BB,-,AA,BB,-,AA,AA,AA,AA,BB
JHI-Hv50k-2016-378987,BB,AA,BB,BB,BB,BB,BB,AA,AA,BB,AA,AA,AA,AA,AA,AA,AA,BB,BB,BB,AA,BB,AA,AA,AA,BB,BB,BB,BB,AA,BB,BB,BB,AA,AA,BB,BB,AA,AA,AA,AA,BB,AA,BB,BB,AA,AA,BB,BB,AA,AA,BB,AA,AA,BB,AA,BB,AA,AA,AA,AA,AA,AA,AA,AA,BB,BB,AA,BB,AA,AA,AA,BB,AA,BB
JHI-Hv50k-2016-380476,-,AA,BB,BB,BB,BB,BB,AA,AA,BB,AA,AA,AA,AA,AA,AA,AA,AA,BB,-,AA,BB,AA,AA,AA,-,-,BB,BB,AA,-,BB,BB,AA,-,BB,BB,AA,AA,-,AA,BB,AA,BB,BB,-,AA,BB,BB,AA,AA,-,-,-,BB,AA,BB,AA,AA,AA,AA,AA,AA,AA,AA,BB,BB,AA,BB,AA,AA,AA,BB,AA,BB
JHI-Hv50k-2016-378880,BB,AA,BB,BB,BB,BB,BB,AA,AA,BB,AA,AA,AA,AA,AA,AA,AA,BB,BB,BB,AA,BB,AA,AA,AA,BB,BB,BB,BB,AA,BB,BB,BB,AA,BB,BB,BB,AA,AA,AA,AA,BB,AA,BB,BB,AA,AA,BB,BB,AA,AA,BB,AA,AA,BB,AA,BB,AA,AA,AA,AA,AA,AA,AA,AA,BB,BB,AA,BB,AA,AA,AA,BB,AA,BB
JHI-Hv50k-2016-378854,BB,AA,BB,BB,BB,BB,BB,AA,AA,BB,AA,AA,AA,AA,AA,AA,AA,BB,BB,BB,AA,BB,AA,AA,BB,BB,BB,BB,BB,AA,BB,BB,BB,AA,BB,BB,BB,-,AA,AA,AA,BB,AA,-,BB,AA,AA,BB,BB,AA,AA,BB,AA,AA,BB,AA,BB,AA,AA,AA,AA,AA,AA,AA,AA,BB,BB,AA,BB,AA,AA,AA,BB,AA,BB
JHI-Hv50k-2016-378829,BB,AA,BB,BB,BB,BB,BB,AA,AA,BB,AA,AA,AA,AA,AA,AA,AA,BB,BB,BB,AA,BB,AA,AA,BB,BB,BB,BB,BB,AA,BB,BB,BB,AA,BB,BB,BB,AA,AA,AA,AA,BB,AA,BB,BB,AA,AA,BB,BB,AA,AA,BB,AA,AA,BB,AA,BB,AA,AA,AA,AA,AA,AA,AA,AA,BB,BB,AA,BB,AA,AA,AA,BB,AA,-
JHI-Hv50k-2016-378864,BB,AA,BB,BB,BB,BB,BB,AA,AA,BB,AA,AA,AA,AA,AA,AA,AA,BB,BB,BB,AA,BB,AA,AA,BB,BB,BB,BB,BB,AA,-,BB,BB,-,BB,BB,BB,AA,-,-,-,BB,-,-,BB,-,-,BB,BB,-,AA,BB,-,-,BB,-,BB,-,AA,-,-,-,-,-,-,BB,BB,AA,BB,-,-,-,BB,-,BB
