,IND1,IND3,IND5,IND7,IND8,IND9,IND10,IND11,IND12,IND14,IND15,IND16,IND17,IND18,IND19,IND21,IND22,IND23,IND24,IND25,IND26,IND27,IND28,IND29,IND30,IND31,IND32,IND33,IND34,IND36,IND37,IND38,IND40,IND41,IND42,IND43,IND44,IND47,IND48,IND49,IND50,IND52,IND53,IND54,IND55,IND57,IND59,IND60,IND61,IND62,IND63,IND64,IND65,IND66,IND67,IND68,IND69,IND70,IND71,IND72,IND73,IND74,IND75,IND76,IND77,IND79,IND80,IND81,IND82,IND84,IND85,IND86,IND87,IND88,IND89,IND91,IND92,IND93,IND94,IND95,IND96,IND97,IND98,IND99,IND101,IND108,IND102
M_75,A,B,A,B,A,B,B,A,B,A,B,B,A,A,B,A,A,B,A,A,B,B,A,A,B,B,A,B,B,A,A,-,B,B,B,A,A,A,-,B,B,A,B,A,B,A,A,A,B,A,B,B,-,A,B,B,A,A,B,A,B,B,B,A,B,B,A,A,A,B,A,B,-,A,A,A,B,-,B,B,B,A,A,B,A,A,A
M_76,A,B,A,B,A,B,B,A,B,A,B,B,A,A,B,A,A,B,A,A,B,B,A,A,B,B,A,B,B,A,A,A,B,B,B,A,A,A,-,B,B,A,B,A,B,A,A,A,B,A,B,B,B,A,B,B,A,A,B,A,B,B,B,A,B,B,A,A,A,B,A,-,A,A,A,A,B,-,B,B,-,A,A,B,A,A,A
M_77,B,B,-,B,-,-,A,A,A,A,B,B,B,B,B,B,A,B,A,A,B,A,B,A,B,B,B,B,B,A,B,A,B,B,B,A,A,A,A,B,B,A,B,A,B,B,A,A,A,A,B,A,B,B,B,B,A,A,B,A,A,A,B,A,B,B,-,A,A,A,A,-,-,-,A,B,A,B,A,B,-,A,A,A,A,A,A
M_78,A,B,A,B,A,A,A,A,A,A,B,A,B,B,B,B,A,B,A,A,B,A,A,B,A,B,B,B,B,A,B,A,B,B,B,A,A,A,A,B,B,B,B,A,B,B,A,A,A,A,B,A,B,B,B,B,A,A,B,B,A,A,B,A,B,B,A,A,A,A,A,-,A,A,A,B,A,B,A,B,-,A,A,A,A,A,B
M_79,A,B,-,B,A,-,-,A,A,A,B,-,B,B,B,B,A,B,A,A,B,A,A,B,A,B,B,B,B,A,B,A,B,B,B,A,A,A,A,B,B,B,B,A,B,B,A,A,A,A,B,A,B,B,B,B,A,A,B,B,A,A,B,A,B,B,A,B,-,A,B,-,A,-,A,B,A,B,A,B,-,A,A,A,A,-,B
M_80,-,-,A,B,A,A,A,A,A,A,B,A,B,B,B,B,A,B,A,-,B,A,A,B,-,B,B,B,B,A,B,A,B,B,B,A,A,A,A,B,B,B,B,A,B,B,A,-,-,A,B,A,B,B,B,B,A,B,B,B,A,-,B,A,A,B,B,B,-,A,B,B,-,A,A,B,A,B,A,B,-,A,A,-,A,A,B
M_81,A,B,A,B,A,A,A,A,A,A,B,A,B,B,B,B,A,B,A,A,B,A,A,B,A,B,B,B,B,A,B,A,B,B,B,B,A,A,A,B,B,B,B,A,B,B,B,A,A,A,B,A,B,B,B,B,A,B,B,B,A,A,B,A,A,B,-,B,-,A,B,-,-,-,A,B,A,B,A,B,A,A,A,A,B,A,B
M_82,A,A,B,B,A,-,A,A,A,A,B,A,B,B,B,B,A,B,A,A,B,A,A,B,A,B,B,B,B,A,B,A,B,B,B,B,A,A,-,B,B,B,B,A,B,B,B,A,A,A,-,A,B,B,-,B,A,B,B,B,A,A,B,A,A,B,A,B,A,A,B,-,A,A,A,B,A,B,A,B,-,A,A,A,B,A,B
M_83,A,B,B,B,-,A,A,A,A,A,B,A,B,B,B,B,A,B,A,A,B,A,A,B,A,B,B,B,B,A,B,A,B,B,B,B,-,A,-,B,B,B,B,A,B,B,B,A,-,A,B,A,B,B,B,B,-,B,B,B,A,A,B,A,A,B,B,B,-,A,B,-,A,A,A,B,A,-,A,B,-,A,A,A,B,A,B
M_84,A,B,B,B,A,A,A,A,A,A,B,A,B,B,B,B,A,B,A,A,B,A,A,B,A,B,B,B,B,A,B,A,B,B,B,B,A,A,A,B,B,B,B,A,-,B,B,A,A,A,B,A,B,B,B,B,A,B,B,A,A,A,B,A,A,B,-,B,A,A,B,A,A,A,A,B,A,A,A,B,A,A,A,A,B,A,B
M_85,A,A,B,B,A,A,A,A,A,A,B,A,B,B,B,B,A,B,A,A,B,A,A,B,A,B,B,B,B,A,B,A,B,B,B,B,A,A,A,B,B,B,B,A,B,B,B,A,A,A,B,A,B,B,B,A,B,B,B,A,A,A,B,A,A,B,-,B,-,B,B,-,A,A,A,B,B,B,A,B,-,A,A,A,B,A,B
M_86,A,A,B,B,A,A,A,A,A,B,B,A,B,B,B,B,B,B,A,A,B,A,A,B,A,B,B,B,B,A,B,A,B,B,B,B,A,A,A,B,B,B,B,A,B,B,B,B,A,A,B,A,B,B,-,A,B,B,B,A,A,A,A,A,A,B,B,A,A,B,A,A,A,A,A,B,B,A,A,A,-,A,B,A,B,B,B
M_87,A,A,B,B,A,A,A,A,A,B,B,A,B,B,B,B,B,B,A,A,B,A,A,B,A,B,B,B,B,A,B,A,B,B,B,B,A,A,A,B,B,B,B,A,B,B,B,B,A,A,B,A,B,B,B,A,B,B,B,A,A,A,A,A,A,B,B,A,A,A,A,A,A,A,A,B,B,B,A,A,-,A,B,A,B,A,B
M_88,A,A,B,B,A,B,A,A,A,B,B,A,B,B,B,B,B,B,A,A,B,A,A,B,A,B,B,B,B,A,B,A,B,B,B,B,A,A,A,B,A,B,B,A,B,B,B,B,A,A,B,A,B,B,-,A,B,B,B,A,A,A,A,A,A,B,B,A,A,A,A,A,B,A,A,B,B,B,A,A,-,A,B,A,B,A,B
M_89,-,A,B,B,A,B,A,A,A,B,B,A,B,B,B,B,B,B,A,A,B,A,A,B,A,B,B,B,B,A,B,-,B,A,B,B,A,A,B,B,-,B,B,A,B,B,-,B,A,A,B,-,B,B,A,A,B,B,B,-,A,B,A,A,A,B,B,A,A,-,-,-,B,A,A,B,B,-,B,A,-,B,B,B,-,A,B
M_90,A,-,B,B,A,B,-,A,-,B,B,-,B,B,B,B,B,B,A,-,B,-,-,B,B,B,B,B,B,A,B,A,B,A,B,B,A,A,-,B,A,B,B,-,B,B,-,B,A,A,B,-,A,B,-,A,B,B,B,B,A,B,A,-,A,B,B,A,-,-,A,-,B,-,-,-,B,-,B,-,-,-,B,B,B,B,B
M_91,A,A,B,B,A,B,A,A,A,A,B,A,A,B,B,B,B,A,A,A,B,A,A,B,-,B,B,B,B,A,B,A,B,B,B,B,A,A,A,B,A,B,B,B,B,B,A,B,A,A,B,A,B,B,A,A,B,B,B,B,A,B,A,A,A,B,B,A,A,A,A,-,B,-,A,B,B,-,B,A,-,B,B,B,B,A,B
M_92,A,A,B,B,A,B,A,A,B,A,A,A,A,A,B,B,B,A,A,A,B,A,A,B,-,B,B,B,B,A,B,A,B,B,B,B,A,A,A,B,A,B,A,-,B,B,-,B,A,A,B,B,B,B,A,A,B,-,B,A,A,B,A,A,A,B,B,A,A,B,A,-,B,-,B,B,B,B,A,A,-,B,B,A,B,B,B
M_93,B,A,B,B,B,B,A,A,B,A,A,A,A,A,B,B,B,A,A,A,B,A,A,B,B,B,B,B,B,A,B,A,B,B,B,B,A,A,A,B,A,B,A,B,B,B,A,B,A,A,B,B,B,B,A,A,A,B,B,A,A,B,A,A,A,B,B,A,A,A,B,A,B,A,B,B,B,B,B,A,A,B,B,A,B,-,A
M_94,B,A,B,B,B,B,A,A,B,A,A,A,A,-,A,B,B,A,A,A,B,A,A,B,A,B,B,B,B,A,B,A,A,B,B,B,A,A,A,B,A,B,A,B,B,B,A,B,A,A,B,B,B,B,A,A,A,B,B,A,A,B,B,A,A,B,B,A,A,B,A,-,B,A,A,B,B,-,A,B,A,B,B,A,B,B,A
M_95,B,A,B,B,B,B,A,B,B,A,A,A,A,-,A,B,B,A,A,A,B,A,A,B,A,B,B,-,B,A,B,A,A,B,B,B,A,A,A,B,A,-,A,B,B,B,-,B,-,A,B,B,B,B,A,A,A,B,B,A,A,B,B,A,A,B,B,A,A,-,A,-,B,A,A,B,B,-,A,B,-,B,B,A,-,A,A
M_96,B,A,B,B,B,B,-,B,A,A,A,A,A,A,A,B,B,A,A,A,B,-,B,B,A,B,B,A,B,B,B,B,A,B,A,B,-,A,-,-,A,B,A,B,B,B,-,B,-,A,B,A,-,B,A,A,-,B,B,A,A,A,B,A,A,B,B,A,A,-,A,-,B,B,B,-,B,-,A,B,-,B,B,A,B,B,A
M_97,B,-,B,B,B,B,-,B,A,-,A,-,A,-,-,B,B,A,A,A,B,A,B,B,-,B,B,A,B,B,B,B,-,B,-,B,A,A,-,A,-,B,-,B,B,B,B,B,A,-,B,A,A,B,-,A,A,B,B,-,-,-,B,A,-,B,B,A,-,B,A,-,B,B,B,B,B,-,-,B,-,B,B,A,B,B,A
M_98,B,A,B,B,B,B,A,B,A,A,A,A,A,A,A,B,B,A,A,A,B,A,B,B,A,B,B,A,B,B,B,B,A,B,A,A,A,A,-,A,A,B,A,B,B,B,-,B,A,A,B,A,A,B,A,A,A,B,B,A,A,A,B,A,A,B,B,A,A,B,B,-,B,B,B,B,B,B,A,B,A,B,-,A,B,B,B
M_99,B,B,B,B,B,-,A,-,A,A,A,-,A,-,-,B,B,A,A,A,B,A,B,A,-,-,B,A,B,A,B,B,A,A,A,A,A,A,-,A,-,-,A,B,B,B,-,B,A,A,-,A,A,B,A,A,A,-,B,A,-,A,B,B,-,B,B,A,A,-,B,-,A,B,B,B,A,B,-,B,-,B,B,-,A,A,B
M_100,B,-,-,-,-,-,A,B,A,A,A,B,A,A,B,B,B,A,A,A,B,A,B,A,B,B,B,A,B,A,B,B,A,A,A,A,A,A,A,B,B,-,A,-,-,-,B,B,A,A,B,A,A,-,A,A,A,-,B,A,B,A,-,B,B,-,B,A,-,B,A,-,A,B,B,-,A,-,-,B,-,B,-,B,A,A,B
M_101,B,B,B,B,B,-,A,B,A,A,A,B,A,A,B,B,B,A,A,A,B,A,B,A,B,B,B,A,B,A,B,B,A,A,A,A,A,A,A,B,B,B,A,B,B,B,B,B,A,A,B,A,A,B,A,A,A,B,B,A,B,A,B,B,B,B,-,A,B,-,A,-,A,B,B,B,A,-,B,B,-,B,B,B,A,B,B
M_102,B,B,B,B,B,-,A,B,A,A,A,B,A,B,B,B,B,A,A,A,B,A,B,B,B,B,B,A,B,A,B,B,A,A,A,A,A,A,A,B,B,B,A,B,B,B,B,B,B,A,B,A,A,B,A,A,A,B,B,A,B,A,B,B,A,B,B,A,B,B,A,-,A,B,B,B,A,B,B,A,-,B,B,B,A,A,B
M_103,B,B,B,B,B,A,A,B,A,A,A,-,A,B,B,B,B,A,A,A,B,B,B,B,B,B,B,A,B,A,B,B,A,A,A,A,A,A,A,B,B,B,A,B,B,B,A,B,B,A,B,A,A,B,A,A,A,B,B,A,B,A,B,B,A,B,B,A,B,B,B,B,A,B,B,B,A,B,-,A,B,B,B,B,A,A,B
M_104,B,A,B,B,B,B,B,A,B,A,A,A,A,A,A,B,-,A,A,B,A,-,A,B,B,A,B,B,B,A,A,A,A,A,A,B,B,B,B,A,B,A,A,A,B,A,A,B,A,B,B,A,B,A,A,A,A,B,B,B,B,A,B,A,A,A,A,A,A,A,A,-,B,A,A,A,B,-,A,B,-,B,A,A,B,A,A
M_105,B,A,B,B,B,B,B,A,B,A,A,-,A,A,A,B,A,A,A,B,A,B,A,B,B,A,B,B,B,A,A,A,A,A,A,B,B,B,B,A,B,A,A,A,B,A,A,B,A,B,B,A,B,A,A,A,A,B,B,B,B,A,B,A,A,A,A,A,A,A,A,B,B,A,A,B,B,A,B,B,A,B,A,A,B,A,A
M_106,B,A,A,B,A,B,A,B,A,A,B,-,B,A,A,B,B,A,A,B,B,B,A,A,A,B,A,A,A,A,B,B,B,A,A,A,A,A,B,A,A,B,B,A,B,B,A,B,B,B,B,B,A,B,A,A,B,B,A,A,B,A,A,B,A,A,A,A,B,B,B,B,B,A,B,A,B,B,A,A,A,A,B,B,B,B,A
M_107,A,A,B,B,-,B,B,B,A,A,B,-,A,A,-,A,A,A,A,A,B,B,A,A,A,A,A,A,-,B,B,B,B,A,B,-,A,B,-,A,A,B,B,A,B,B,A,A,A,B,A,B,B,B,A,A,B,B,A,B,B,A,A,B,A,B,-,A,-,B,A,-,A,A,A,A,B,B,B,-,A,A,B,B,A,B,A
M_108,A,A,B,B,-,B,B,B,A,-,B,-,A,A,-,A,A,A,A,A,B,B,A,A,A,A,A,A,A,B,B,B,B,A,B,-,A,B,-,A,A,B,B,A,B,B,A,A,A,B,A,B,B,B,A,A,B,B,A,B,B,-,A,B,A,B,-,A,-,B,-,-,A,A,A,A,B,B,B,-,-,A,B,B,A,B,A
M_109,A,A,B,B,A,B,B,B,A,A,B,-,A,A,-,A,A,A,A,A,B,B,A,A,A,A,A,A,A,B,B,B,B,A,B,-,A,B,B,A,A,B,B,A,B,B,A,A,A,B,A,B,B,B,-,A,B,B,A,B,B,A,A,B,A,B,A,A,B,B,A,-,A,A,A,A,B,B,B,-,-,A,B,B,A,B,A
M_110,A,A,B,B,A,B,B,B,A,A,B,A,A,A,A,A,B,A,A,A,B,B,A,A,A,A,A,A,A,B,B,-,B,A,B,-,A,B,-,A,A,B,-,A,B,B,A,A,A,B,A,B,B,B,A,A,B,B,A,B,B,A,A,B,A,B,A,A,-,B,A,-,A,A,A,B,B,-,B,B,-,A,B,B,A,B,A
M_111,-,A,B,B,B,A,B,B,A,A,B,A,A,A,A,A,A,A,A,B,B,-,A,B,B,A,A,A,-,B,B,B,B,A,B,B,B,B,-,A,A,B,B,A,B,B,A,A,A,B,A,A,B,B,A,A,B,B,A,B,B,A,A,B,A,B,A,A,A,A,A,A,A,-,A,B,B,B,A,B,-,A,A,A,A,B,B
M_112,-,A,B,B,-,B,B,B,A,A,B,A,A,A,A,A,A,A,A,B,B,-,-,B,B,A,A,A,B,B,B,B,B,A,B,A,B,B,-,A,A,B,B,A,B,B,A,A,A,B,A,A,B,B,A,A,B,B,A,B,B,A,A,B,A,B,A,A,-,A,-,-,A,A,A,-,B,-,A,B,-,A,A,A,A,A,B
M_113,A,A,B,B,-,B,B,B,A,A,B,-,A,A,-,A,A,A,A,A,B,A,A,A,A,A,-,A,B,A,B,B,B,A,B,-,B,B,B,A,A,B,B,A,B,B,A,A,A,B,A,B,B,B,A,A,B,B,A,B,B,A,A,B,A,B,-,A,-,-,A,-,A,A,A,B,B,B,B,-,-,-,B,B,A,A,B
M_114,A,A,B,B,A,B,B,B,A,A,B,A,A,A,A,-,B,A,A,A,B,A,B,B,A,A,A,A,A,A,B,B,B,A,B,-,A,B,B,A,A,B,B,A,B,B,A,A,A,B,A,B,B,B,A,A,B,B,A,B,B,A,A,B,A,A,A,A,-,B,A,-,B,A,A,B,B,-,B,B,-,A,B,B,A,B,B
M_115,A,A,B,B,A,B,B,B,A,A,B,A,A,A,A,-,B,A,A,A,B,A,B,A,A,A,A,A,A,A,B,B,B,A,B,-,A,B,-,A,A,B,B,A,B,B,A,A,A,B,A,B,B,B,A,A,B,B,A,B,B,A,A,B,A,A,A,A,B,B,A,B,B,A,A,B,B,-,B,B,-,A,B,B,A,B,B
M_116,A,A,B,B,A,B,B,B,A,A,B,-,A,A,A,-,B,A,A,A,B,A,B,A,A,A,A,A,B,A,B,B,A,A,B,-,B,B,A,A,A,B,B,A,B,B,B,A,A,B,A,B,B,B,A,A,B,B,A,B,B,A,A,B,A,A,A,A,B,B,A,-,B,A,A,B,B,B,B,B,-,A,B,B,A,B,B
M_117,A,A,B,-,A,-,-,B,A,A,B,-,A,A,A,A,B,A,A,A,-,A,B,A,A,A,A,A,-,A,B,B,A,A,B,A,B,B,-,A,A,B,-,A,B,B,-,A,B,B,A,B,B,A,-,A,B,-,A,B,A,A,A,B,A,A,A,A,-,-,A,A,-,-,A,B,B,B,B,B,-,A,-,B,A,B,B
M_118,A,A,B,-,A,-,B,B,A,A,B,A,A,A,A,A,B,A,A,A,B,A,B,B,A,B,A,A,B,A,-,B,A,B,B,B,B,A,-,A,A,-,B,B,B,B,A,A,B,A,-,B,A,B,A,A,-,-,A,B,A,B,-,B,A,A,-,A,B,-,A,-,B,A,A,B,B,-,A,B,-,A,-,A,A,A,B
M_119,A,A,B,B,A,A,B,A,A,A,A,B,A,A,A,A,B,A,A,A,B,A,B,B,A,A,B,A,B,A,B,B,A,B,B,B,B,A,-,B,A,B,B,B,B,B,A,A,B,A,B,A,A,B,A,B,B,-,A,B,B,-,B,B,A,B,-,A,B,B,A,-,B,A,B,B,B,-,B,A,-,A,B,B,B,A,B
M_120,A,A,B,B,B,A,B,A,A,A,A,B,A,A,A,A,B,A,A,A,B,A,B,B,A,A,B,A,B,A,B,B,A,B,B,B,B,A,-,B,A,B,A,B,B,B,A,A,B,A,B,A,A,B,-,B,B,B,A,-,-,-,A,B,A,B,-,B,B,B,B,-,B,A,B,B,B,-,B,A,-,A,B,B,B,B,B
M_121,A,-,B,B,B,A,B,A,A,A,A,B,-,A,A,A,B,A,A,A,B,A,B,B,-,A,B,A,B,A,B,B,A,B,B,B,B,A,-,B,A,-,A,B,B,B,A,A,B,A,B,A,A,B,A,B,B,B,A,-,-,-,A,B,A,B,-,B,B,B,B,-,B,A,B,B,B,A,B,A,-,A,B,B,B,B,B
M_122,A,A,B,B,B,A,B,A,A,A,A,B,A,B,A,A,B,A,A,A,B,A,B,B,A,A,A,B,B,A,B,B,A,B,B,B,B,-,A,B,A,B,A,B,B,B,A,A,B,A,B,A,A,B,A,B,B,B,A,-,-,-,A,A,A,B,-,B,B,B,B,B,B,-,B,B,B,-,B,A,-,A,B,B,B,A,B
M_123,A,A,B,B,B,A,B,-,A,A,A,A,A,B,A,A,B,A,A,A,A,A,A,B,A,A,A,B,B,A,B,B,A,B,B,B,B,-,-,B,A,B,A,B,B,B,A,A,B,-,B,A,-,B,A,B,B,B,A,B,-,B,A,A,A,B,-,B,B,B,B,-,A,-,B,B,B,-,B,A,-,A,B,B,B,B,B
M_124,B,A,B,B,A,B,B,A,A,B,B,A,B,B,B,A,A,A,B,A,A,B,A,B,-,A,-,A,A,A,B,B,B,B,A,B,A,B,-,B,A,B,B,-,B,B,A,A,A,A,A,B,B,B,-,B,B,B,B,B,A,B,A,A,A,B,B,A,A,A,A,-,A,B,B,A,B,B,B,-,-,B,A,B,B,A,B
M_125,A,A,B,B,B,A,B,-,A,B,B,A,A,B,B,A,A,B,B,A,A,A,A,A,A,A,A,A,A,A,B,B,B,B,A,B,B,B,A,A,B,B,B,A,B,B,B,A,A,B,A,B,B,A,A,B,A,B,B,B,A,B,B,A,B,B,A,B,A,A,B,-,A,A,A,B,B,B,B,A,B,B,A,B,B,A,B
M_126,A,A,B,B,B,A,B,B,A,B,B,A,B,B,B,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,B,B,B,B,A,B,B,B,A,-,B,B,B,A,B,B,B,A,A,A,A,B,B,A,A,B,A,B,B,B,A,B,B,A,B,B,-,B,A,A,-,-,-,A,A,B,A,-,B,A,-,B,A,B,B,A,B
M_127,B,A,-,B,B,A,B,A,A,B,A,A,B,B,B,A,A,A,B,B,A,A,A,A,B,A,A,A,A,A,B,A,B,B,B,B,B,A,A,A,B,B,B,A,B,B,A,A,A,A,A,B,A,A,B,B,-,A,B,B,A,A,B,A,B,A,A,B,A,A,B,-,B,A,B,A,A,A,B,A,A,B,A,B,A,A,B
M_128,A,A,A,A,B,-,B,B,B,B,A,B,B,B,A,A,A,B,B,B,A,A,A,A,B,B,A,A,A,B,B,B,A,A,B,B,A,A,A,A,B,B,B,A,B,B,A,A,B,A,A,B,B,A,B,A,-,A,-,B,A,A,B,A,B,A,A,A,A,B,A,-,B,A,B,A,A,-,B,B,-,A,B,B,A,A,B
M_129,A,A,A,A,B,A,B,B,B,B,A,B,B,B,A,A,A,B,B,B,A,A,A,A,B,B,A,A,A,B,B,B,A,A,B,B,A,A,A,A,B,B,B,A,B,B,A,A,B,A,A,B,B,A,B,A,B,B,B,B,A,A,B,A,B,A,A,A,A,-,A,A,-,A,B,A,A,-,B,B,-,A,B,B,A,A,B
M_130,A,B,A,B,B,-,B,A,B,B,A,B,B,B,A,A,A,B,B,B,A,B,A,A,B,B,B,A,A,B,B,B,A,B,B,B,A,A,A,A,B,B,B,A,B,B,A,A,B,A,A,B,B,A,B,A,B,-,B,B,A,A,B,A,B,A,A,A,A,B,A,-,A,A,B,A,A,B,B,B,-,A,B,B,A,A,B
M_131,A,B,A,B,A,B,B,A,B,B,A,B,B,B,A,B,A,B,B,A,A,B,A,A,B,B,B,A,A,B,B,B,A,B,B,B,A,A,B,A,B,B,B,A,B,B,A,A,B,A,A,B,B,A,A,A,B,A,B,B,A,A,B,B,B,A,A,A,A,B,A,-,A,A,B,A,A,B,B,B,-,A,B,B,A,A,B
M_132,A,B,A,B,A,-,B,A,B,B,A,B,B,B,A,B,A,B,A,A,A,B,A,A,B,B,B,A,A,B,B,B,A,B,B,A,A,A,A,A,B,B,B,A,B,B,A,A,B,A,A,B,B,A,A,A,B,A,B,B,A,A,B,B,B,A,-,A,A,B,A,-,A,A,B,A,A,B,B,B,-,A,B,B,A,A,B
M_133,A,B,A,B,B,A,B,A,-,-,A,-,B,-,A,B,A,-,A,A,A,-,A,A,B,B,B,A,A,B,B,-,A,-,B,A,A,A,-,A,-,-,-,A,-,-,A,A,B,A,A,B,-,A,A,A,B,A,B,B,A,A,-,-,-,A,-,A,A,-,A,-,A,A,-,A,A,-,B,-,A,A,B,B,A,A,-
M_134,A,B,A,B,B,A,B,A,B,B,A,B,B,B,B,B,A,B,A,A,A,B,B,A,B,B,B,A,A,B,A,B,A,B,B,A,A,A,-,A,B,B,B,A,B,A,A,A,B,B,A,B,B,A,A,A,B,A,A,B,A,A,B,A,A,A,A,A,A,B,A,-,A,A,B,A,A,-,B,B,-,A,A,B,A,A,B
M_135,B,-,A,-,-,-,-,A,B,B,-,-,B,-,-,B,A,B,A,A,-,B,A,A,B,B,B,A,A,B,-,-,-,B,B,B,A,A,-,A,B,-,B,-,-,A,-,A,B,-,A,B,-,A,-,-,-,A,-,A,-,B,-,A,A,A,-,A,A,-,A,-,-,-,A,A,A,-,B,B,-,-,A,B,-,A,-
M_136,B,B,A,A,B,A,B,A,B,B,B,-,B,B,B,B,A,B,A,A,A,B,A,B,B,B,B,A,A,B,A,B,A,B,B,A,A,A,A,A,B,B,B,A,B,A,A,B,B,B,A,B,B,A,B,A,B,A,A,B,B,A,B,A,A,A,A,A,-,B,A,A,A,A,B,A,A,B,B,B,A,A,A,B,A,A,A
M_137,A,B,B,B,A,A,B,B,A,B,B,-,B,B,B,B,B,B,A,A,B,A,B,B,A,A,B,B,B,B,A,A,A,A,A,A,A,A,B,A,B,B,B,-,B,A,A,B,B,B,A,B,B,A,B,B,A,A,A,B,B,B,B,A,B,A,A,A,B,B,A,B,A,A,B,A,B,B,A,B,B,B,B,B,A,A,B
M_138,A,B,B,B,A,B,B,B,B,B,B,A,A,B,B,B,A,A,A,A,A,B,B,A,A,B,B,A,A,A,A,B,A,B,B,B,A,A,-,A,B,B,B,A,B,A,A,B,B,B,A,B,B,A,B,B,A,A,A,B,B,B,B,A,B,A,A,A,-,-,A,-,A,-,A,B,A,-,A,B,-,-,A,A,A,A,B
M_139,A,B,-,A,A,B,B,B,B,B,-,-,A,B,B,B,A,A,B,B,-,B,A,A,-,B,B,B,A,B,A,A,B,B,B,B,B,-,-,-,B,B,B,B,B,A,A,B,B,B,A,B,B,B,-,-,B,-,-,B,-,A,B,A,A,A,-,-,B,-,-,B,A,-,A,B,B,B,-,B,-,A,-,A,A,B,B
M_140,A,B,B,-,A,B,B,B,A,A,A,-,A,A,B,A,B,A,B,A,B,A,A,A,B,A,B,B,-,B,A,A,A,B,B,-,A,B,A,A,B,B,B,B,B,A,A,B,B,A,B,B,B,A,B,A,-,A,A,A,A,A,A,B,A,A,B,A,-,A,A,A,B,B,B,B,B,A,A,A,-,A,A,A,B,A,A
M_141,A,B,B,B,A,A,B,B,A,A,A,B,A,A,B,A,B,A,B,A,-,A,A,A,B,A,A,B,-,B,A,A,A,A,B,-,A,B,-,A,B,B,B,A,B,A,A,B,B,A,B,-,B,A,-,A,-,A,A,A,A,A,A,B,A,A,B,A,-,A,A,-,B,A,B,B,B,-,A,A,-,A,A,A,B,A,A
M_142,A,B,B,B,A,B,B,B,A,A,A,-,A,A,B,A,B,A,B,A,B,A,A,A,B,A,A,B,B,B,A,B,A,A,B,-,A,B,-,A,B,B,B,B,B,A,A,B,B,A,B,B,B,A,B,A,-,A,A,A,A,A,A,B,A,A,-,A,B,A,A,-,B,B,B,B,B,B,A,A,-,A,A,A,B,A,A
