genotypes,sitio,anio,EX,PM,NS,IK,FR,VIS,PD,BG,ATL,amb,M_1120797,M_1120159,M_1111453,M_1120252,M_1121190,M_1120529,M_1121398,M_1121027,M_1120976,M_1110112,M_1110886,M_1120595,M_1120172,M_1120742,M_1110565,M_1120794,M_1120455,M_1120968,M_1120607,M_1110672,M_1120410,M_1110081,M_1110710,M_1110825,M_1110863,M_1120193,M_1121145,M_1120647,M_1121533,M_1111002,M_1110601,M_1121101,M_1121197,M_1111313,M_1111258,M_1111086,M_1110137,M_1111501,M_1120970,M_1110328,M_1120333,M_1120428,M_1120439,M_1120796,M_1120856,M_1121062,M_1121435,M_1111283,M_1120002,M_1120288,M_1110926,M_1110620,M_1110925,M_1111530,M_1120801,M_1110966,M_1111125,M_1120486,M_1120583,M_1121472,M_1110011,M_1111124,M_1110008,M_1110456,M_1121147,M_1111337,M_1110225,M_1111401,M_1111016,M_1120276,M_1110158,M_1110373,M_1110653,M_1121511,M_1110728,M_1121120,M_1111191,M_1110281,M_1120704,M_1110335,M_1111391,M_1121502,M_1110839,M_1121305,M_1120931,M_1111394,M_1110172,M_1120017,M_1111314,M_1120273,M_1120877,M_1111241,M_1120694,M_1110350,M_1120566,M_1120695,M_1120778,M_1110683,M_1110047,M_1120362,M_1120597,M_1120115,M_1121358,M_1120093,M_1120063,M_1121348,M_1110628,M_1121294,M_1120659,M_1111021,M_1110747,M_1120999,M_1121438,M_1120130,M_1110515,M_1110184,M_1121381,M_1121517,M_1120009,M_1121513,M_1121212,M_1120023,M_1121161,M_1111503,M_1110312,M_1121277,M_1120523,M_1110753,M_1120168,M_1120944,M_1110918,M_1121405,M_1110754,M_1110821,M_1111172,M_1110867,M_1120650,M_1110280,M_1120343,M_1111196,M_1111141,M_1120662,M_1120612,M_1110381,M_1111127,M_1121428,M_1120085,M_1120920,M_1121427,M_1110631,M_1121266,M_1121272,M_1111436,M_1110702,M_1110646,M_1121008,M_1120605,M_1110681,M_1111410,M_1121267,M_1110694,M_1111516,M_1110343,M_1110283,M_1121362
ND14016,EEMAC,2007,81.8,14.3,968,43,59,1.63,451,504,-,EEMAC _ 2007,AA,AA,AA,AA,AA,AB,AA,AA,AA,AB,AB,AB,AA,AA,AA,AA,AA,-,AA,AB,AA,AA,AB,AB,AA,AB,AB,AB,AA,AA,AB,AB,AB,AB,AB,AB,AA,AA,AA,AB,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AA,AA,AB,AB,AA,AA,AA,AA,AB,AA,AA,AB,AA,AB,AB,AA,AB,AA,AA,AA,AB,AA,AA,AA,AB,AB,AB,AB,AB,AA,AA,AA,AA,AB,AA,AB,AB,AA,AB,AA,AA,AA,AB,AB,AA,AA,AA,AA,AA,AB,AA,AA,AB,AB,AA,AB,AB,AA,AA,AB,AB,AA,AA,AB,AB,AA,AB,AB,AA,AB,AA,AB,AA,AA,AB,AA,AA,AB,AB,AB,AA,AB,AA,AB,AA,AA,AB,AB,AA,AA,AB,AB,AB,AA,AB,AB,AB
ND15140,EEMAC,2007,80.3,11.3,661,37,51,1.58,307,671,-,EEMAC _ 2007,AB,AB,AB,AA,AA,AA,AA,AA,AA,AB,AB,AB,AA,AA,AA,AA,AA,-,AA,AB,AA,AA,AB,AB,AA,AB,AB,AB,AA,AA,AB,AB,AB,AB,AB,AB,AA,AA,AA,AB,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AA,AA,AB,AB,AA,AA,AA,AA,AB,AA,AA,AB,AB,AB,AA,AA,AA,AA,AA,AA,AA,AA,AA,AB,AB,AB,AB,AB,AB,AA,AA,AA,AA,AB,AB,AA,AB,AA,AB,AB,AA,AA,AB,AB,AA,AA,AA,AB,AB,AA,AA,AB,AA,AA,AB,AA,AB,AA,AB,AB,AB,AB,AB,AA,AB,AA,AA,AA,AA,AB,AA,AA,AA,AB,AB,AA,AA,AB,AB,AB,AA,AA,AA,AA,AB,AA,AB,AA,AB,AB,AA,AB,AA,AA,AB,AB,AB
Logan,EEMAC,2007,82.4,12.4,1070,55,77,1.52,509,224,-,EEMAC _ 2007,AA,AB,AA,AB,AA,AB,AA,AA,AA,AB,AB,AB,AA,AA,AA,AA,AA,AA,AA,AB,AA,AA,AB,AB,AA,AB,AB,AB,AA,AA,AB,AB,AB,AB,AB,AB,AA,AA,AA,AB,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AA,AA,AB,AB,AA,AA,AA,AA,AB,AA,AA,AB,AA,AB,AB,AA,AB,AA,AA,AA,AB,AA,AA,AA,AB,AB,AB,AA,AA,AB,AA,AA,AA,AB,AA,AB,AB,AA,AA,AB,AA,AA,AB,AB,AA,AA,AA,AB,AB,AA,AB,AB,AB,AB,AA,AA,AB,AA,AB,AB,AB,AA,AA,AB,AB,AB,AB,AA,AB,AA,AB,AA,AB,AB,AA,AA,AA,AB,AB,AB,AA,AA,AA,AA,AB,AA,AB,AB,AA,AA,AB,AB,AB,AA,AB,AB,AB
MN599,EEMAC,2007,80.6,12.5,948,48,69,1.52,357,312,-,EEMAC _ 2007,AB,AB,AB,AA,AB,AA,AB,AA,AB,AA,AA,AA,AA,AA,AA,AB,AA,AA,AB,AB,AA,AA,AB,AB,AB,AA,AB,AB,AB,AB,AA,AB,AB,AA,AB,AA,AB,AB,AB,AA,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AB,AB,AB,AA,AA,AB,AB,AA,AB,AB,AB,AB,AB,AA,AB,AB,AA,AA,AA,AB,AB,AA,AA,AA,AB,AB,AB,AB,AA,AA,AB,AA,AA,AA,AB,AA,AB,AB,AA,AB,AA,AB,AB,AB,AA,AB,AB,AA,AA,AA,AB,AB,AA,AB,AB,AA,AA,AA,AB,AB,AB,AB,AB,AA,AA,AA,AA,AB,AB,AB,AB,AA,AB,AA,AA,AB,AA,AA,AB,AB,AB,AA,AB,AA,AB,AA,AB,AB,AB,AA,AB,AA,AA,AA,AB,AA,AB,AB
Perun,EEMAC,2007,78.2,13.1,683,33,48,1.54,399,629,-,EEMAC _ 2007,AB,AB,AB,AA,AB,AA,AB,AA,AB,AA,AA,AA,AB,AB,AA,AB,AA,-,AB,AA,AA,AB,AA,AB,AB,AA,AB,AB,AB,AB,AA,AB,AA,AB,AB,AB,AA,AA,AA,AB,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AA,AA,AB,AB,AB,AB,AB,AB,AB,AA,AA,AB,AA,AA,AB,AA,AB,AB,AA,AB,AA,AA,AA,AB,AB,AB,AA,AB,AB,AB,AB,AA,AA,AA,AA,AB,AA,AB,AB,AB,AA,AB,AA,AA,AA,AA,AB,AB,AB,AA,AA,AB,AA,AB,AA,AA,AB,AA,AA,AB,AB,AA,AA,AA,AA,AB,AA,AA,AA,AA,AB,AA,AB,AA,AB,AB,AB,AA,AA,AB,AB,AB,AA,AB,AB,AA,AB,AB,AB,AB,AA,AA,AB,AA,AA,AA,AA,AB,AB
Prior,EEMAC,2007,78.1,12.5,836,42,49,1.61,290,482,-,EEMAC _ 2007,AB,AA,AA,AB,AA,AB,AB,AB,AB,AA,AB,AA,AA,AB,AA,AA,AA,AA,AB,AB,AA,AA,AB,AB,AB,AA,AA,AA,AB,AB,AB,AA,AB,AB,AA,AA,AB,AB,AB,AA,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AA,AA,AA,AA,AA,AA,AA,AA,AA,AB,AA,AA,AA,AA,AA,AA,AA,AB,AB,AB,AB,AB,AB,AB,AA,AA,AB,AA,AB,AA,AB,AA,AB,AA,AB,AA,AA,AB,AA,AA,AB,AB,AB,AB,AB,AB,AA,AA,AA,AA,AB,AA,AA,AB,AA,AA,AA,AB,AB,AB,AA,AB,AB,AB,AA,AA,AB,AB,AA,AB,AB,AA,AB,AB,AA,AA,AB,AB,AB,AA,AA,AA,AA,AB,AB,AB,AB,AA,AB,AA,AA,AB,AB,AB,AA,AA,AB,AB,AB,AA,AB,AB,AB,AB,AB,AA,AA,AB,AB,AB,AA,AA,AB,AB
QPampa,EEMAC,2007,77.8,13.4,836,39,55,1.52,365,438,-,EEMAC _ 2007,AB,AB,AB,AA,AB,AA,AB,AB,AB,AA,AB,AB,AB,AB,AA,AA,AA,AA,AA,AA,AB,AB,AA,AA,AB,AB,AB,AB,AB,AB,AA,AB,AA,AB,AB,AB,AA,AA,AA,AB,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AA,AA,AB,AB,AB,AB,AB,AB,AB,AA,AA,AB,AA,AA,AB,AA,AB,AA,AA,AA,AB,AB,AA,AA,AA,AB,AB,AB,AB,AA,AA,AB,AA,AA,AA,AB,AA,AB,AB,AA,AB,AA,AB,AB,AB,AA,AB,AB,AA,AA,AA,AB,AA,AA,AB,AB,AA,AB,AB,AA,AA,AB,AB,AA,AA,AB,AB,AB,AB,AA,AB,AB,AA,AB,AA,AA,AB,AA,AA,AB,AB,AB,AA,AA,AA,AA,AB,AA,AB,AB,AA,AA,AB,AA,AA,AA,AA,AB,AB
Quebrac,EEMAC,2007,78.8,13.3,652,31,32,1.56,355,742,-,EEMAC _ 2007,AA,AA,AA,AB,AA,AB,AB,AB,AB,AA,AB,AA,AA,AB,AA,AA,AA,AA,AA,AA,AB,AB,AA,AA,AA,AB,AB,AB,AB,AB,AA,AB,AA,AB,AB,AB,AA,AA,AA,AB,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AA,AA,AB,AB,AB,AB,AB,AB,AB,AA,AA,AB,AA,AA,AB,AA,AB,AA,AA,AA,AB,AB,AA,AA,AA,AB,AB,AB,AB,AA,AA,AB,AA,AA,AA,AB,AA,AB,AB,AA,AB,AA,AB,AB,AB,AA,AB,AB,AB,AA,AA,AB,AB,AA,AB,AB,AA,AB,AB,AA,AA,AB,AB,AB,AA,AA,AA,AA,AB,AB,AB,AB,AA,AB,AA,AA,AA,AA,AA,AB,AB,AB,AA,AA,AA,AA,AB,AA,AA,AB,AB,AB,AB,AB,AA,AA,AA,AB,AB
Stirlin,EEMAC,2007,79.2,13.6,937,44,57,1.53,451,443,-,EEMAC _ 2007,AB,AB,AB,AA,AB,AA,AB,AA,AB,AA,AA,AA,AA,AB,AA,AA,AA,AA,AA,AA,AB,AB,AA,AA,AA,AB,AB,AB,AB,AB,AA,AB,AA,AB,AB,AB,AA,AA,AA,AB,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AA,AA,AB,AB,AB,AB,AB,AB,AB,AA,AA,AB,AA,AA,AB,AA,AB,AA,AA,AA,AB,AB,AA,AA,AA,AB,AB,AB,AB,AB,AB,AA,AA,AA,AA,AB,AA,AB,AB,AA,AA,AA,AB,AB,AB,AA,AB,AB,AB,AA,AA,AA,AB,AA,AB,AB,AA,AB,AB,AA,AA,AB,AB,AB,AA,AA,AA,AA,AB,AA,AB,AB,AA,AA,AA,AA,AB,AB,AB,AA,AA,AB,AB,AB,AA,AB,AB,AB,AB,AB,AA,AA,AB,AA,AB,AA,AA,AA,AB
Union,EEMAC,2007,77.9,15.2,856,36,48,1.65,433,555,-,EEMAC _ 2007,AB,AB,AB,AA,AB,AA,AB,AA,AB,AA,AA,AA,AB,AA,AB,AB,AA,AA,AA,AB,AA,AA,AB,AB,AB,AB,AA,AA,AB,AB,AA,AB,AB,AA,AB,AA,AB,AB,AB,AA,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AB,AB,AB,AA,AA,AB,AB,AA,AB,AB,AB,AA,AB,AA,AB,AA,AA,AA,AA,AA,AA,AB,AB,AB,AB,AB,AA,AA,AB,AB,AA,AB,AB,AB,AB,AB,AA,AA,AA,AB,AA,AB,AB,AB,AA,AB,AB,AB,AA,AA,AB,AB,AB,AA,AA,AB,AA,AA,AB,AB,AA,AA,AA,AB,AA,AA,AA,AA,AA,AB,AA,AB,AA,AB,AB,AB,AA,AA,AB,AB,AA,AB,AA,AA,AB,AB,AA,AB,AB,AA,AA,AB,AA,AB,AA,AA,AB,AB
WMR1,EEMAC,2007,75.6,14.1,725,32,37,1.56,478,641,-,EEMAC _ 2007,AB,AB,AB,AA,AB,AA,AB,AA,AB,AA,AA,AA,AA,AA,AB,AB,AA,AA,AA,AB,AA,AA,AB,AB,AB,AA,AB,AB,AB,AB,AA,AB,AB,AA,AB,AA,AB,AB,AB,AA,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AB,AB,AB,AA,AA,AB,AB,AA,AB,AB,AB,AB,AB,AA,AB,AB,AA,AB,AA,AA,AA,AB,AA,AA,AB,AB,AB,AB,AA,AA,AB,AA,AA,AA,AB,AB,AA,AA,AB,AB,AA,AB,AB,AB,AA,AB,AB,AA,AA,AA,AB,AA,AB,AA,AA,AB,AB,AA,AB,AB,AB,AB,AA,AB,AA,AA,AA,AA,AA,AB,AA,AB,AA,AB,AB,AB,AA,AA,AB,AB,AA,AB,AA,AA,AB,AB,AB,AB,AB,AA,AA,AB,AA,AB,AA,AA,AA,AB
Scarlet,EEMAC,2007,81,12,917,48,66,1.56,398,331,-,EEMAC _ 2007,AB,AA,AA,AA,AA,AB,AA,AB,AB,AB,AA,AA,AA,AB,AA,AA,AA,AB,AA,AA,AB,AB,AA,AA,AA,AB,AB,AB,AB,AB,AA,AB,AB,AA,AB,AA,AB,AB,AB,AA,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AB,AB,AB,AA,AA,AB,AB,AA,AB,AB,AB,AB,AB,AA,AB,AB,AA,AB,AA,AA,AA,AA,AA,AA,AB,AB,AB,AB,AA,AB,AB,AA,AA,AA,AB,AA,AB,AB,AA,AB,AA,AB,AB,AB,AA,AB,AB,AB,AA,AA,AB,AA,AB,AA,AA,AB,AA,AA,AB,AB,AA,AA,AA,AA,AB,AB,AA,AB,AA,AA,AA,AB,AA,AB,AB,AA,AA,AA,AB,AB,AB,AA,AA,AA,AA,AB,AA,AB,AB,AA,AA,AB,AB,AB,AB,AA,AB,AB
Carumbe,EEMAC,2007,79.2,12.4,723,36,61,1.53,458,474,-,EEMAC _ 2007,AA,AB,AA,AB,AA,AB,AA,AA,AA,AB,AB,AB,AA,AA,AA,AA,AA,-,AA,AB,AA,AA,AB,AB,AA,AB,AB,AB,AA,AA,AB,AB,AB,AB,AB,AB,AA,AA,AA,AB,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AA,AA,AB,AB,AA,AA,AA,AA,AB,AA,AA,AB,AA,AB,AB,AA,AA,AA,AA,AA,AB,AB,AB,AB,AB,AA,AB,AA,AA,AB,AA,AA,AA,AB,AB,AA,AA,AA,AB,AA,AB,AB,AB,AA,AB,AB,AB,AA,AA,AB,AB,AB,AA,AA,AB,AB,AB,AA,AA,AB,AB,AA,AB,AA,AA,AB,AA,AA,AB,AA,AB,AA,AB,AB,AA,AA,AA,AB,AB,AB,AA,AA,AB,AB,AB,AA,AB,AB,AA,AA,AB,AA,AB,AA,AA,AB,AB
Dayman,EEMAC,2007,80.4,12.5,793,40,63,1.53,440,533,-,EEMAC _ 2007,AA,AB,AA,AB,AA,AB,AA,AA,AA,AB,AB,AB,AA,AA,AA,AA,AA,AA,AA,AB,AA,AA,AB,AB,AA,AB,AB,AB,AA,AA,AB,AB,AB,AB,AB,AB,AA,AA,AA,AB,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AA,AA,AB,AB,AA,AA,AA,AA,AB,AA,AA,AB,AA,AB,AB,AA,AB,AA,AA,AA,AB,AA,AA,AA,AB,AA,AA,AB,AB,AA,AB,AB,AB,AA,AB,AA,AA,AA,AB,AB,AA,AB,AB,AB,AA,AA,AA,AB,AB,AA,AA,AB,AB,AB,AA,AA,AA,AA,AB,AB,AB,AA,AA,AB,AB,AB,AB,AA,AB,AA,AB,AA,AB,AB,AA,AA,AA,AB,AB,AB,AA,AA,AA,AA,AB,AA,AB,AB,AA,AA,AB,AB,AB,AA,AA,AB,AB
CLE202,EEMAC,2007,78.6,13.1,740,35,67,1.5,397,281,-,EEMAC _ 2007,AB,AB,AB,AA,AB,AA,AB,AA,AB,AA,AA,AA,AA,AB,AA,AB,AB,AB,AA,AB,AA,AA,AB,AB,AB,AA,AA,AA,AB,AB,AB,AA,AA,AB,AB,AB,AA,AA,AA,AB,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AA,AA,AB,AB,AA,AB,AB,AB,AB,AA,AA,AA,AA,AA,AB,AB,AB,AB,AA,AB,AA,AB,AA,AB,AB,AA,AB,AA,AA,AA,AA,AB,AA,AA,AA,AB,AB,AA,AB,AB,AA,AB,AA,AB,AB,AA,AB,AB,AB,AA,AA,AB,AB,AA,AB,AB,AA,AB,AB,AA,AA,AB,AB,AB,AA,AA,AA,AA,AA,AA,AB,AA,AB,AA,AB,AB,AB,AB,AB,AA,AA,AA,AB,AA,AA,AA,AB,AA,AB,AB,AA,AA,AB,AA,AA,AA,AA,AB,AB
CLE203,EEMAC,2007,81,14.2,1151,52,77,1.48,417,98,-,EEMAC _ 2007,AB,AA,AA,AB,-,AB,AB,AB,AB,AA,AB,AA,AA,AB,AA,AA,AA,AA,AB,AA,AB,AB,AA,AA,AA,AB,AB,AB,AB,AB,AA,AB,AA,AB,AB,AB,AA,AA,AA,AB,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,-,AB,AB,AB,-,AA,AA,AB,AB,AB,AB,AB,AB,AB,AA,AA,AB,AA,AA,AB,AA,AB,AB,AA,AB,AA,AA,AB,AA,AA,AA,AB,AA,AA,AB,AB,AA,AB,AB,AB,AB,AA,AB,AB,AB,AA,AA,AB,AB,AB,AA,AB,AB,AA,AA,AB,AB,AB,AA,AB,AB,AA,AB,AB,AA,AA,AB,AB,AB,AA,AA,AA,AA,AB,AB,AB,AB,AA,AB,AA,-,AA,AA,AA,AB,AB,AB,AA,AA,AA,AA,AA,AA,AB,-,AB,AB,AB,AB,AA,AA,AB,AA,AA
Lisa,EEMAC,2007,77.9,14.6,917,40,62,1.52,400,337,-,EEMAC _ 2007,AB,AB,AB,AA,AB,AA,AB,AA,AB,AA,AA,AA,AB,AA,AB,AB,AA,AA,AA,AB,AA,AA,AB,AB,AB,AB,AB,AB,AB,AB,AA,AB,AB,AA,AB,AA,AB,AB,AB,AA,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AB,AB,AB,AA,AA,AB,AB,AA,AB,AB,AB,AA,AB,AA,AB,AA,AA,AA,AA,AB,AB,AA,AA,AA,AB,AB,AB,AB,AA,AA,AB,AA,AA,AA,AB,AA,AB,AB,AA,AB,AA,AB,AB,AB,AA,AB,AB,AB,AA,AA,AB,AB,AB,AA,AA,AB,AA,AA,AB,AB,AA,AA,AA,AB,AA,AA,AA,AA,AA,AB,AA,AB,AA,AB,AB,AB,AA,AA,AB,AB,AB,AA,AA,AA,AA,AB,AA,AB,AB,AA,AA,AB,AA,AB,AA,AA,AB,AB
CLE226,EEMAC,2007,81.3,16.2,988,39,60,1.54,376,314,-,EEMAC _ 2007,AB,AB,AA,AB,AA,AB,AB,AA,AA,AB,AB,AA,AA,AB,AB,AB,AB,AB,AA,AB,AA,AA,AB,AB,AB,AA,AA,AA,AB,AB,AB,AA,AA,AB,AB,AA,AB,AB,AB,AA,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AB,AB,AB,AA,AA,AB,AB,AA,AB,AB,AB,AB,AB,AA,AB,AB,AA,AA,AA,AB,AB,AA,AA,AA,AB,AB,AB,AB,AA,AA,AB,AA,AA,AA,AB,AA,AA,AB,AA,AB,AA,AB,AB,AB,AA,AB,AB,AB,AA,AA,AB,AA,AB,AA,AA,AB,AA,AA,AB,AB,AA,AB,AB,AA,AA,AA,AA,AA,AA,AB,AA,AB,AA,AB,AB,AA,AA,AA,AB,AB,AB,AA,AB,AB,AA,AB,AA,AA,AA,AA,AA,AB,AB,AB,AB,AA,AB,AB
C8806,EEMAC,2007,78.7,15,856,36,46,1.56,398,386,-,EEMAC _ 2007,AA,AA,AA,AB,AA,AB,AB,AB,AB,AA,AB,AA,AA,AA,AA,AB,AA,AA,AB,AB,AA,AA,AB,AB,AB,AA,AB,AB,AB,AB,AA,AB,AB,AA,AB,AA,AB,AB,AB,AA,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AB,AB,AB,AA,AA,AB,AB,AA,AA,AA,AB,AA,AA,AB,AA,AB,AA,AA,AA,AB,AB,AA,AA,AA,AB,AB,AB,AB,AA,AA,AB,AA,AA,AA,AB,AA,AB,AB,AA,AB,AA,AB,AB,AB,AA,AB,AB,AB,AA,AA,AB,AB,AA,AB,AB,AA,AB,AB,AA,AA,AB,AB,AB,AA,AA,AA,AA,AB,AB,AB,AB,AA,AB,AA,AA,AA,AA,AA,AB,AB,AB,AA,AA,AA,AA,AB,AA,AA,AB,AB,AB,AB,AB,AA,AA,AA,AB,AB
CLE233,EEMAC,2007,81.4,12.1,866,46,72,1.52,376,290,-,EEMAC _ 2007,AB,AB,AA,AB,AA,AB,AB,AA,AA,AB,AB,AB,AB,AA,AB,AB,AB,AB,AA,AB,AA,AA,AB,AB,AB,AA,AA,AA,AB,AB,AB,AA,AA,AB,AB,AB,AA,AA,AA,AB,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AA,AA,AB,AB,AA,AB,AB,AB,AB,AA,AA,AA,AA,AA,AB,AB,AB,AB,AA,AB,AA,AB,AA,AB,AB,AA,AB,AA,AA,AA,AA,AB,AA,AA,AA,AB,AB,AA,AB,AB,AA,AB,AA,AB,AB,AA,AB,AB,AA,AA,AA,AB,AA,AB,AA,AA,AB,AA,AA,AB,AB,AA,AB,AB,AA,AA,AA,AA,AA,AA,AB,AA,AB,AA,AB,AB,AA,AA,AA,AB,AB,AB,AA,AB,AB,AA,AB,AA,AA,AA,AA,AA,AB,AB,AB,AB,AA,AB,AB
C9046,EEMAC,2007,80,11.7,774,42,60,1.58,218,427,-,EEMAC _ 2007,AB,AA,AA,AB,AA,AB,AB,AB,AB,AA,AB,AA,AA,AB,AA,AA,AA,AA,AA,AA,AB,AB,AA,AA,AA,AB,AB,AB,AB,AB,AA,AB,AA,AB,AB,AB,AA,AA,AA,AB,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AA,AA,AB,AB,AB,AB,AB,AB,AB,AA,AA,AB,AA,AA,AB,AA,AB,AB,AA,AB,AA,AA,AB,AA,AA,AA,AB,AA,AA,AB,AB,AA,AB,AB,AB,AB,AA,AB,AB,AB,AA,AA,AB,AB,AB,AA,AB,AB,AA,AA,AB,AB,AB,AB,AA,AA,AB,AB,AB,AB,AA,AB,AB,AB,AA,AA,AA,AA,AB,AB,AB,AB,AA,AB,AA,AA,AA,AA,AA,AB,AB,AB,AA,AA,AA,AA,AA,AA,AB,AB,AB,AB,AB,AB,AA,AA,AB,AA,AA
Villa,EEMAC,2007,77.8,14.7,927,40,56,1.56,233,359,-,EEMAC _ 2007,AB,AB,AB,AA,AB,AA,AB,AA,AB,AA,AA,AA,AA,AA,AA,AB,AA,AA,AB,AB,AA,AA,AB,AB,AB,AA,AB,AB,AB,AB,AA,AB,AB,AA,AB,AA,AB,AB,AB,AA,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AB,AB,AB,AA,AA,AB,AB,AA,AB,AB,AB,AB,AB,AA,AB,AB,AA,AB,AA,AB,AB,AA,AA,AA,AB,AB,AB,AB,AA,AA,AB,AA,AA,AA,AB,AA,AB,AB,AA,AB,AA,AB,AB,AB,AA,AB,AB,AB,AA,AA,AB,AB,AB,AA,AA,AB,AA,AA,AB,AB,AA,AA,AA,AA,AB,AB,AB,AB,AA,AB,AA,AB,AA,AB,AB,AB,AA,AA,AB,AB,AB,AA,AA,AA,AA,AB,AB,AA,AB,AB,AA,AA,AA,AB,AB,AA,AB,AB
Br2,EEMAC,2007,79,14.1,876,39,52,1.56,405,285,-,EEMAC _ 2007,AB,AB,AA,AB,AA,AB,AB,AA,AA,AB,AA,AA,AA,AB,AA,AB,AA,-,AB,AA,AB,AB,AA,AA,AA,AB,AB,AB,AB,AB,AA,AB,AA,AB,AB,AB,AA,AA,AA,AB,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AA,AA,AB,AB,AB,AB,AB,AB,AB,AA,AA,AB,AA,AA,AB,AA,AB,AB,AA,AB,AA,AA,AB,AB,AB,AB,AA,AB,AB,AB,AB,AA,AA,AA,AA,AB,AA,AB,AB,AA,AB,AA,AB,AB,AB,AA,AB,AB,AB,AA,AA,AB,AA,AB,AA,AA,AB,AA,AA,AB,AB,AA,AA,AA,AB,AA,AA,-,AA,AA,AB,AA,AB,AA,AB,AB,AA,AA,AA,AB,AB,AB,AA,AA,AB,AB,AA,AA,AA,AA,AB,AA,AB,AB,AB,AA,AA,AB,AB
